requirement_id,Name_of_Project,Original_Requirement,Fixed_Requirement,Explanation
116,2005_clarus_low,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,The Clarus system shall be able to communicate with RWIS databases through the RWIS databases' native interfaces.,'their' is replaced with 'the RWIS databases'' to specify which interfaces.
117,2005_clarus_low,CS shall be able to accept data from an RWIS database in its native output format.,CS shall be able to accept data from an RWIS database in the RWIS database's native output format.,'its' is replaced with 'the RWIS database's' for clarity.
118,2005_clarus_low,The Clarus system shall be able to communicate with an individual ESS through its native interface.,The Clarus system shall be able to communicate with an individual ESS through the ESS's native interface.,'its' is replaced with 'the ESS's' to specify the interface belongs to ESS.
131,2005_clarus_low,The DOG shall be able to monitor new environmental data services as they are added.,The DOG shall be able to monitor new environmental data services as the new environmental data services are added.,'they' is replaced with 'the new environmental data services' to avoid ambiguity.
132,2005_clarus_low,The DOG shall be able to record its activities.,The DOG shall be able to record the DOG's activities.,'its' is replaced with 'the DOG's' for explicit reference.
136,2005_clarus_low,The EMC shall be configurable to allow new observation types to be implemented as they become available.,The EMC shall be configurable to allow new observation types to be implemented as the new observation types become available.,'they' is replaced with 'the new observation types' for precision.
151,2005_clarus_low,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as they become available.,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as the new observation types become available.,'they' is replaced with 'the new observation types' to specify what becomes available.
169,2005_clarus_low,The QEDC shall be configurable to allow new observation types to be implemented as they become available.,The QEDC shall be configurable to allow new observation types to be implemented as the new observation types become available.,'they' is replaced with 'the new observation types' for clarity.
171,2005_clarus_low,The QEDC shall maintain observations and their associated quality flags for seven days.,The QEDC shall maintain observations and the observations' associated quality flags for seven days.,'their' is replaced with 'the observations'' to specify what has flags.
174,2005_clarus_low,The QEDC shall support queries for its observations.,The QEDC shall support queries for the QEDC's observations.,'its' is replaced with 'the QEDC's' for explicit reference.
176,2005_clarus_low,The QEDC shall support queries against all of its available observation datasets.,The QEDC shall support queries against all of the QEDC's available observation datasets.,'its' is replaced with 'the QEDC's' to clarify ownership.
196,2005_clarus_low,QEDS shall be able to disseminate new observation types as they become available.,QEDS shall be able to disseminate new observation types as the new observation types become available.,'they' is replaced with 'the new observation types' to avoid ambiguity.
203,2005_clarus_low,QEDS shall log their activities.,QEDS shall log QEDS's activities.,'their' is replaced with 'QEDS's' to specify what is being logged.
262,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values from multiple observations.,The Clarus system shall be able to base the Clarus system's quality checking process on values from multiple observations.,'its' is replaced with 'the Clarus system's' for clarity.
264,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values distributed in time.,The Clarus system shall be able to base the Clarus system's quality checking process on values distributed in time.,'its' is replaced with 'the Clarus system's' to specify ownership.
265,2005_clarus_low,QChS shall be able to base its quality checking process on values distributed in time.,QChS shall be able to base QChS's quality checking process on values distributed in time.,'its' is replaced with 'QChS's' for explicit reference.
266,2005_clarus_low,QChS shall be able to use historical environmental data in their quality checking algorithms.,QChS shall be able to use historical environmental data in QChS's quality checking algorithms.,'their' is replaced with 'QChS's' to clarify which algorithms.
268,2005_clarus_low,QChS shall be implemented to quality check new observation types as they become available.,QChS shall be implemented to quality check new observation types as the new observation types become available.,'they' is replaced with 'the new observation types' for precision.
269,2005_clarus_low,QChS shall apply quality flags to data as they are received.,QChS shall apply quality flags to data as the data are received.,'they' is replaced with 'the data' to avoid ambiguity with other plural nouns.
277,2005_clarus_low,The SS shall record when it initiates actions.,The SS shall record when the SS initiates actions.,'it' is replaced with 'the SS' for explicit reference.
281,2005_clarus_low,The Clarus system shall track its constituent hosts.,The Clarus system shall track the Clarus system's constituent hosts.,'its' is replaced with 'the Clarus system's' to clarify ownership.
294,2005_clarus_low,The Clarus system shall be able to publish environmental data at three times the volume rate that it collects it.,The Clarus system shall be able to publish environmental data at three times the volume rate that the Clarus system collects the environmental data.,'it collects it' is replaced with 'the Clarus system collects the environmental data' to resolve both pronoun references.
304,2005_clarus_low,The contributors shall identify the intended use of their shared data and information.,The contributors shall identify the intended use of the contributors' shared data and information.,'their' is replaced with 'the contributors'' to specify ownership.
305,2005_clarus_low,The contributors shall identify the categories of recipients of their shared data and information.,The contributors shall identify the categories of recipients of the contributors' shared data and information.,'their' is replaced with 'the contributors'' for clarity.
306,2005_clarus_low,The contributors shall define the units of measurements of their shared data and information.,The contributors shall define the units of measurements of the contributors' shared data and information.,'their' is replaced with 'the contributors'' to specify what is being measured.
307,2005_clarus_low,The Clarus program shall determine how it will provide data and information to contributors.,The Clarus program shall determine how the Clarus program will provide data and information to contributors.,'it' is replaced with 'the Clarus program' for explicit reference.
308,2005_clarus_low,The Clarus program shall provide data and information statistics on its operation to contributors.,The Clarus program shall provide data and information statistics on the Clarus program's operation to contributors.,'its' is replaced with 'the Clarus program's' to clarify ownership.
310,2005_clarus_low,"The Clarus program shall inform contributors of the ""acceptance and use"" of their data and information.","The Clarus program shall inform contributors of the ""acceptance and use"" of the contributors' data and information.",'their' is replaced with 'the contributors'' to specify whose data is being used.
313,2005_clarus_low,The contributors shall inform the Clarus program of known error(s) and modifications in its data and information.,The contributors shall inform the Clarus program of known error(s) and modifications in the contributors' data and information.,'its' is replaced with 'the contributors'' to clarify ownership of the data.
314,2005_clarus_low,The Clarus program shall determine its redistribution of shared data from contributors based upon Clarus Data Sharing Agreements.,The Clarus program shall determine the Clarus program's redistribution of shared data from contributors based upon Clarus Data Sharing Agreements.,'its' is replaced with 'the Clarus program's' to specify what is being redistributed.
315,2005_clarus_low,The Clarus program shall report successes and failures in data and information transmission to its contributors.,The Clarus program shall report successes and failures in data and information transmission to the Clarus program's contributors.,'its' is replaced with 'the Clarus program's' to clarify relationship.
317,2005_clarus_low,The Clarus program shall maintain information about requestors and their access to data and information.,The Clarus program shall maintain information about requestors and the requestors' access to data and information.,'their' is replaced with 'the requestors'' to specify whose access is being tracked.
327,2005_clarus_low,"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.","The contributors shall provide the Clarus program with a timely notice of the contributors' intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.",'their' is replaced with 'the contributors'' to clarify whose intent is being communicated.
346,2005_clarus_low,The Clarus program shall operate the Clarus system according to its published IT Security Plan.,The Clarus program shall operate the Clarus system according to the Clarus program's published IT Security Plan.,'its' is replaced with 'the Clarus program's' to specify ownership of the plan.
385,2002_evla_back,Data Integrity Verification – The BE shall ensure that time series data is correctly ordered and contains valid data values along its entire extent.,Data Integrity Verification – The BE shall ensure that time series data is correctly ordered and contains valid data values along the time series data's entire extent.,'its' is replaced with 'the time series data's' to clarify what has an extent.
411,2002_evla_back,Offload – The BE shall be able to redistribute internal workload among its processors. This may involve change of destination IP address(es) for the Correlator network.,Offload – The BE shall be able to redistribute internal workload among the BE's processors. This may involve change of destination IP address(es) for the Correlator network.,'its' is replaced with 'the BE's' to specify which processors.
435,2002_evla_back,"Auto-correction – the Backend System shall be self-monitoring.  It will be capable of detecting, reporting on and automatically taking action to remedy or lessen the impact of, at a minimum, the following types of abnormal conditions: processor hardware failure, operating system hangs or crashes, computational performance below minimum specifications, computational error rates above maximum specification, internal communications failures, and external (with the Correlator and E2E) communications disruptions.","Auto-correction – the Backend System shall be self-monitoring.  The Backend System will be capable of detecting, reporting on and automatically taking action to remedy or lessen the impact of, at a minimum, the following types of abnormal conditions: processor hardware failure, operating system hangs or crashes, computational performance below minimum specifications, computational error rates above maximum specification, internal communications failures, and external (with the Correlator and E2E) communications disruptions.",'It' is replaced with 'The Backend System' for explicit reference.
444,2002_evla_back,Software Accessibility – all systems and application source code shall be available to or on the systems that execute it.,Software Accessibility – all systems and application source code shall be available to or on the systems that execute the source code.,'it' is replaced with 'the source code' to clarify what is being executed.
451,2002_evla_back,"Seamlessness – 3.7.1, above, shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces.","Seamlessness – 3.7.1, above, shall be accomplished in a manner that is seamless, in that the manner does not affect hardware modules or software functionality that the manner meets at interfaces.",Both instances of 'it' are replaced with 'the manner' to clarify what is being referred to.
452,2002_evla_back,Performance – the Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.,Performance – the Backend system shall ultimately be scaleable to an extent that the Backend system will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.,'it' is replaced with 'the Backend system' for explicit reference.
467,1999_multi_mahjong,The MultiMahjongServer will allow connections from MultiMahjongClients and communicate with them using IP.,The MultiMahjongServer will allow connections from MultiMahjongClients and communicate with the MultiMahjongClients using IP.,'them' is replaced with 'the MultiMahjongClients' to clarify who is being communicated with.
468,1999_multi_mahjong,"The MultiMahjongServer will serve as a node for MultiMahjongClients. That is, it will be able to relay data received from one MultiMahjongClient to other MultiMahjongClients that request it.","The MultiMahjongServer will serve as a node for MultiMahjongClients. That is, the MultiMahjongServer will be able to relay data received from one MultiMahjongClient to other MultiMahjongClients that request the data.",'it' is replaced with 'the MultiMahjongServer' and the second 'it' with 'the data' to resolve both pronoun references.
469,1999_multi_mahjong,"The MultiMahjongServer will automate the game initialisation functions (as opposed to the MultiMahjongClient doing them), such as: randomising tile order, randomising seating position and storing the ""Game Info"" database.","The MultiMahjongServer will automate the game initialisation functions (as opposed to the MultiMahjongClient doing the functions), such as: randomising tile order, randomising seating position and storing the ""Game Info"" database.",'them' is replaced with 'the functions' to specify what is being done.
472,1999_multi_mahjong,The MultiMahjongServer will allow players on MultiMahjongClient programs to modify their own names and icons during gameplay (as opposed to only at the beginning).,The MultiMahjongServer will allow players on MultiMahjongClient programs to modify the players' own names and icons during gameplay (as opposed to only at the beginning).,'their' is replaced with 'the players'' to clarify whose names and icons are being modified.
473,1999_multi_mahjong,The MultiMahjongServer will support an architecture whereby all Computer Opponents (CO) required will reside on it instead of on the MultiMahjongClient programs.,The MultiMahjongServer will support an architecture whereby all Computer Opponents (CO) required will reside on the MultiMahjongServer instead of on the MultiMahjongClient programs.,'it' is replaced with 'the MultiMahjongServer' for explicit reference.
476,1999_multi_mahjong,"When the user begins the MultiMahjongClient program, they will be able to choose to create a new multi player game, to create a new single player game, to join an existing multi player game, or to quit the program. These options will be available at any stage while the program is running as long as there is no game currently being played by the user (see Section 4.4 for more details about quitting).","When the user begins the MultiMahjongClient program, the user will be able to choose to create a new multi player game, to create a new single player game, to join an existing multi player game, or to quit the program. These options will be available at any stage while the program is running as long as there is no game currently being played by the user (see Section 4.4 for more details about quitting).",'they' is replaced with 'the user' to clarify who has the choices.
477,1999_multi_mahjong,"When a user creates a new multi player game, they must: 1-Enter their name. 2- Choose an icon from a predetermined list. 3- Decide the number of human and computer opponents they want. As any game of Mahjong requires 4 players, the MultiMahjongClient will limit the user to choosing 4 players in total. 4- Set the score limit for winning a hand of Mahjong. 5- When all the necessary human players have joined the game, the user may choose to begin the game.","When a user creates a new multi player game, the user must: 1-Enter the user's name. 2- Choose an icon from a predetermined list. 3- Decide the number of human and computer opponents the user wants. As any game of Mahjong requires 4 players, the MultiMahjongClient will limit the user to choosing 4 players in total. 4- Set the score limit for winning a hand of Mahjong. 5- When all the necessary human players have joined the game, the user may choose to begin the game.",'they' is replaced with 'the user' and 'their' with 'the user's' and second 'they' with 'the user' to resolve all pronoun references.
480,1999_multi_mahjong,"When a user creates a new single player game, they must: 1- Enter their name. 2- Choose an icon from a predetermined list. 3- Set the score limit for winning a hand of Mahjong.","When a user creates a new single player game, the user must: 1- Enter the user's name. 2- Choose an icon from a predetermined list. 3- Set the score limit for winning a hand of Mahjong.",'they' is replaced with 'the user' and 'their' with 'the user's' to resolve pronoun references.
482,1999_multi_mahjong,"When a user wishes to join a multi player game, they must: 1- Enter their name. 2- Choose an icon from a predetermined list. 3- Choose which of the available games they wish to join.","When a user wishes to join a multi player game, the user must: 1- Enter the user's name. 2- Choose an icon from a predetermined list. 3- Choose which of the available games the user wishes to join.",'they' is replaced with 'the user' and 'their' with 'the user's' and second 'they' with 'the user' to resolve all pronoun references.
484,1999_multi_mahjong,"In a multi player game, each MultiMahjongClient must retrieve the following data from the MultiMahjongServer: 1- Whether it must support a CO. 2- The score limit for a hand. 3- All players' names, icons and seating positions. 4- The tiles of the human and CO (optional) player supported on the MultiMahjongClient.","In a multi player game, each MultiMahjongClient must retrieve the following data from the MultiMahjongServer: 1- Whether the MultiMahjongClient must support a CO. 2- The score limit for a hand. 3- All players' names, icons and seating positions. 4- The tiles of the human and CO (optional) player supported on the MultiMahjongClient.",'it' is replaced with 'the MultiMahjongClient' to clarify what might support a CO.
486,1999_multi_mahjong,The MultiMahjongClient will save the user preferences in a file and read them in when the program begins.,The MultiMahjongClient will save the user preferences in a file and read the preferences in when the program begins.,'them' is replaced with 'the preferences' to specify what is being read.
489,1999_multi_mahjong,"Any user who creates or joins a game will be able to upload their own JPEG or GIF image that they wish to have displayed above their name, if they do not wish to use a preset icon.","Any user who creates or joins a game will be able to upload the user's own JPEG or GIF image that the user wishes to have displayed above the user's name, if the user does not wish to use a preset icon.",All instances of 'their' and 'they' are replaced with 'the user's' and 'the user' respectively to resolve pronoun references.
491,1999_multi_mahjong,The MultiMahjongClient will inform the user whose turn it is to pick up a tile.,The MultiMahjongClient will inform the user whose turn the user has to pick up a tile.,'it is' is replaced with 'the user has' to clarify the turn belongs to the user.
494,1999_multi_mahjong,"User's will be able to pick up a tile from the wall if it is their turn. If they choose to pick up, the MultiMahjongClient must send this information to the MultiMahjongServer.","The user will be able to pick up a tile from the wall if it is the user's turn. If the user chooses to pick up, the MultiMahjongClient must send this information to the MultiMahjongServer.",'User's' is corrected to 'The user' and 'their' to 'the user's' and 'they' to 'the user' to resolve pronoun references and grammatical issues.
495,1999_multi_mahjong,"User's will be able to discard a tile if they have picked one up. When they choose to discard, the MultiMahjongClient must send this information to the MultiMahjongServer.","The user will be able to discard a tile if the user has picked one up. When the user chooses to discard, the MultiMahjongClient must send this information to the MultiMahjongServer.",'User's' is corrected to 'The user' and both instances of 'they' are replaced with 'the user' to resolve pronoun references and grammatical issues.
505,1999_multi_mahjong,User's will be able to Undo their last move if playing in single player mode.,The user will be able to Undo the user's last move if playing in single player mode.,'User's' is corrected to 'The user' and 'their' to 'the user's' to resolve pronoun reference and grammatical issue.
506,1999_multi_mahjong,User's will be able to Save their game if playing in single player mode.,The user will be able to Save the user's game if playing in single player mode.,'User's' is corrected to 'The user' and 'their' to 'the user's' to resolve pronoun reference and grammatical issue.
508,1999_multi_mahjong,User's will be able to change their icons/pictures and names during the game.,The user will be able to change the user's icons/pictures and names during the game.,'User's' is corrected to 'The user' and 'their' to 'the user's' to resolve pronoun reference and grammatical issue.
512,1999_multi_mahjong,"If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place. This CO will take over the user's current position and circumstance within the game. This CO will play at an ability level as defined in the Level 2 Requirements for the CO (see Section 4.5.6).","If a user leaves the game prematurely, a new CO is created on another user's machine to fill the leaving user's place. This CO will take over the leaving user's current position and circumstance within the game. This CO will play at an ability level as defined in the Level 2 Requirements for the CO (see Section 4.5.6).",'their' is replaced with 'the leaving user's' to clarify whose place is being filled.
513,1999_multi_mahjong,"If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place. The user who created the game will decide at what level (see Section 4.5.8) the CO will play at.","If a user leaves the game prematurely, a new CO is created on another user's machine to fill the leaving user's place. The user who created the game will decide at what level (see Section 4.5.8) the CO will play at.",'their' is replaced with 'the leaving user's' to clarify whose place is being filled.
522,1999_multi_mahjong,The CO will be able to perform look ahead algorithms to determine its best move in the Intermediate and Advanced levels.,The CO will be able to perform look ahead algorithms to determine the CO's best move in the Intermediate and Advanced levels.,'its' is replaced with 'the CO's' to clarify whose move is being determined.
539,1999_multi_mahjong,The coding standard will be the same as that suggested by Sun Microsystems. This document is available in PDF in our repository at: MultiMahjong/doc/SQAP/CodeConventions.pdf or online at: ftp://ftp.javasoft.com/docs/codeconv/CodeConventions.pdf,The coding standard will be the same as the standard suggested by Sun Microsystems. This document is available in PDF in our repository at: MultiMahjong/doc/SQAP/CodeConventions.pdf or online at: ftp://ftp.javasoft.com/docs/codeconv/CodeConventions.pdf,'that' is replaced with 'the standard' to clarify what is being referred to.
551,1999_multi_mahjong,"A section added to the manual which details some technical information on the MultiMahjong product, including: 1- The languages we used to write the MultiMahjong product and a history of how it developed. 2- A brief description of how the MultiMahjongServer and MultiMahjongClients interact.","A section added to the manual which details some technical information on the MultiMahjong product, including: 1- The languages we used to write the MultiMahjong product and a history of how the product developed. 2- A brief description of how the MultiMahjongServer and MultiMahjongClients interact.",'it' is replaced with 'the product' to clarify what developed.
556,1999_multi_mahjong,The manual will contain the following sections: 1- How to install the MultiMahjongClient program. 2- How to begin a single/multi player game or join a multi player game (see Section 4.2) 3. How to play a game of MultiMahjong (which describes the rules and scoring in a game of Chinese Mahjong).  4- An explanation of what all parts of the GUI do (see Section 6.3) and how to use them. 5- Troubleshooting guide,The manual will contain the following sections: 1- How to install the MultiMahjongClient program. 2- How to begin a single/multi player game or join a multi player game (see Section 4.2) 3. How to play a game of MultiMahjong (which describes the rules and scoring in a game of Chinese Mahjong).  4- An explanation of what all parts of the GUI do (see Section 6.3) and how to use the parts. 5- Troubleshooting guide,'them' is replaced with 'the parts' to clarify what is being used.
569,tachonet,FUN-02 The system must allow a member of the network to send a bulk request on all or a large part of its driver's smart card holders to a particular or all members of the network.,FUN-02 The system must allow a member of the network to send a bulk request on all or a large part of the member's driver's smart card holders to a particular or all members of the network.,'its' is replaced with 'the member's' to clarify whose card holders are being referred to.
570,tachonet,FUN-03 The system must allow a member to do statistics on messages issued and received from/to his system.,FUN-03 The system must allow a member to do statistics on messages issued and received from/to the member's system.,'his' is replaced with 'the member's' for gender neutrality and clarity.
581,tachonet,"FUN-14  The system must allow a Member State (through its Card Issuing Authority) to ask for the status of card (lost, stolen,…) to the corresponding Card Issuing Authority of the Member State having issued the card.","FUN-14  The system must allow a Member State (through the Member State's Card Issuing Authority) to ask for the status of card (lost, stolen,…) to the corresponding Card Issuing Authority of the Member State having issued the card.",'its' is replaced with 'the Member State's' to clarify ownership of the Authority.
582,tachonet,"FUN-15  The system must allow a Member State (through its Card Issuing Authority) to send card status modification requests (lost, stolen,…) to the corresponding Card Issuing Authority of the Member State having issued the card.","FUN-15  The system must allow a Member State (through the Member State's Card Issuing Authority) to send card status modification requests (lost, stolen,…) to the corresponding Card Issuing Authority of the Member State having issued the card.",'its' is replaced with 'the Member State's' to clarify ownership of the Authority.
583,tachonet,"FUN-16 The system must allow enforcement authorities (through its Card Issuing Authority) to ask for driver's card status (based on either card number + issuing Member State code or driver's surname, first names, date of birth and issuing Member State code) to the corresponding Card Issuing Authority of the Member State having issued the card.","FUN-16 The system must allow enforcement authorities (through the authorities' Card Issuing Authority) to ask for driver's card status (based on either card number + issuing Member State code or driver's surname, first names, date of birth and issuing Member State code) to the corresponding Card Issuing Authority of the Member State having issued the card.",'its' is replaced with 'the authorities'' to clarify whose Authority is being used.
584,tachonet,FUN-17 The system must allow enforcement authorities (through its Card Issuing Authority) to ask for workshop card status (based on workshop card number + issuing Member State code) to the corresponding Card Issuing Authority of the Member State having issued the card.,FUN-17 The system must allow enforcement authorities (through the authorities' Card Issuing Authority) to ask for workshop card status (based on workshop card number + issuing Member State code) to the corresponding Card Issuing Authority of the Member State having issued the card.,'its' is replaced with 'the authorities'' to clarify whose Authority is being used.
587,tachonet,USA-03  The system must make it easy to correct mistakes.,USA-03  The system must make it easy to correct the mistakes.,'mistakes' is replaced with 'the mistakes' to specify which mistakes are being referred to.
589,tachonet,"REL-02  The system must function reliably, with few or no interruptions in its first operational year and fewer still thereafter.","REL-02  The system must function reliably, with few or no interruptions in the system's first operational year and fewer still thereafter.",'its' is replaced with 'the system's' to clarify ownership of the year.
591,tachonet,PER-01  The system should be able to cover more than one contact point per country depending on the administrative organisation adopted by each country and able to work in a multi hierarchical environment. This is no longer the case since everybody agrees upon having a single point of contact per Member State (even though the Member State is organized with several Card Issuing Authorities – up to the Member State to manage its own organisation).,PER-01  The system should be able to cover more than one contact point per country depending on the administrative organisation adopted by each country and able to work in a multi hierarchical environment. This is no longer the case since everybody agrees upon having a single point of contact per Member State (even though the Member State is organized with several Card Issuing Authorities – up to the Member State to manage the Member State's own organisation).,'its' is replaced with 'the Member State's' to clarify whose organization is being managed.
593,tachonet,PER-03  The system must be able to establish and keep the dialog with the Members systems despite the various technical environments and technologies used on their sites.,PER-03  The system must be able to establish and keep the dialog with the Members systems despite the various technical environments and technologies used on the Members' sites.,'their' is replaced with 'the Members'' to clarify whose sites are being referred to.
598,tachonet,SUP-03  The system must be designed so that it can migrate to upgraded hardware or new versions of the operating systems involved.,SUP-03  The system must be designed so that the system can migrate to upgraded hardware or new versions of the operating systems involved.,'it' is replaced with 'the system' for explicit reference.
601,tachonet,DES-01  The system must be designed and documented with the expectation that its operational lifetime will be many years.,DES-01  The system must be designed and documented with the expectation that the system's operational lifetime will be many years.,'its' is replaced with 'the system's' to clarify ownership of the lifetime.
602,tachonet,DES-02  Each Member of this network will organise its data about smart card holders with no constraints or recommendations on operating system and/or technology used. The system will be able to dialog with these environments or specify a generic interface to dialog with the Member's applications.,DES-02  Each Member of this network will organise the Member's data about smart card holders with no constraints or recommendations on operating system and/or technology used. The system will be able to dialog with these environments or specify a generic interface to dialog with the Member's applications.,'its' is replaced with 'the Member's' to clarify whose data is being organized.
615,2005_pontis,"6.19 Privileged users shall be able to delete an existing inspection unless it is ""locked down"".","6.19 Privileged users shall be able to delete an existing inspection unless the inspection is ""locked down"".",'it' is replaced with 'the inspection' to clarify what might be locked down.
622,2005_pontis,22.4 The administrator shall be able to edit the DATADICT table or its successor(s) through a GUI window.,22.4 The administrator shall be able to edit the DATADICT table or the table's successor(s) through a GUI window.,'its' is replaced with 'the table's' to clarify whose successors are being referred to.
624,2005_pontis,21.8 The system shall be capable of operating with a single-sign-on authentication mechanism based on Active Directory Services or the LDAP standard.( It should be recognized that the Virtis/Opis application authentication/security control approach may need to be revised to accomplish this capability globally in the AASHTO BRIDGEWare software suite.).,21.8 The system shall be capable of operating with a single-sign-on authentication mechanism based on Active Directory Services or the LDAP standard.( It should be recognized that the Virtis/Opis application authentication/security control approach may need to be revised to accomplish the capability globally in the AASHTO BRIDGEWare software suite.).,'this capability' is replaced with 'the capability' to clarify which capability is being referred to.
627,2005_pontis,"5.1 The software, through its user interface, will clearly identify the product name (Pontis 5.0.x), the licensee, the connected user, and the organization that developed the system (AASHTO). Additional session identification information will be available on demand.27(27 Pontis 4.x Help About and SysInfo windows provide examples.) The overall look and feel of the product will be that of a professional and conservative application.","5.1 The software, through the software's user interface, will clearly identify the product name (Pontis 5.0.x), the licensee, the connected user, and the organization that developed the system (AASHTO). Additional session identification information will be available on demand.27(27 Pontis 4.x Help About and SysInfo windows provide examples.) The overall look and feel of the product will be that of a professional and conservative application.",'its' is replaced with 'the software's' to clarify ownership of the interface.
630,2005_pontis,"5.2 The application should look and feel consistent in the web and standalone operating environments, therefore it will conform to standard .NET standalone and web application conventions with necessary accommodations for the deployment environment only where these prove necessary and appropriate. ","5.2 The application should look and feel consistent in the web and standalone operating environments, therefore the application will conform to standard .NET standalone and web application conventions with necessary accommodations for the deployment environment only where the accommodations prove necessary and appropriate. ",'it' is replaced with 'the application' and 'these' with 'the accommodations' to resolve pronoun references.
631,2005_pontis,"5.2 The system developer shall consider supporting existing custom forms and reports developed in PowerBuilder 9. It shall decide on a development tool for users so that they can continue to customize Pontis and extend its capability. For example, custom forms and reports created with PowerBuilder 9 may be migrated to a .NET application by using the Sybase DataWindow .NET technology which is available in PowerBuilder 10.","5.2 The system developer shall consider supporting existing custom forms and reports developed in PowerBuilder 9. The system developer shall decide on a development tool for users so that the users can continue to customize Pontis and extend Pontis's capability. For example, custom forms and reports created with PowerBuilder 9 may be migrated to a .NET application by using the Sybase DataWindow .NET technology which is available in PowerBuilder 10.","'It' is replaced with 'The system developer', 'they' with 'the users', and 'its' with 'Pontis's' to resolve all pronoun references."
636,2005_pontis,"The Pontis application server (ASP.NET) software will run on a server located within a (presumably) secure facility at each agency. Because it is an ASP.NET application, the end users can vary in location depending on the network accessibility of the server. The Pontis database, and any other databases to be accessed from Pontis may be co-located on the same server machine, but at a minimum must be accessible from the Pontis application server via standard database communication and connection protocols. ","The Pontis application server (ASP.NET) software will run on a server located within a (presumably) secure facility at each agency. Because the Pontis application server is an ASP.NET application, the end users can vary in location depending on the network accessibility of the server. The Pontis database, and any other databases to be accessed from Pontis may be co-located on the same server machine, but at a minimum must be accessible from the Pontis application server via standard database communication and connection protocols. ",'it' is replaced with 'the Pontis application server' to clarify what is an ASP.NET application.
639,2005_pontis,"Pontis 5.0 will be designed to be used with Internet Explorer; it may work correctly with other browsers but this cannot be guaranteed. Given the predominance of IE in the browser market, it does not appear to be necessary to consider support for other browsers, although this may need to be reconsidered if external customers are running the application(s) and need to employ different browser technology such as Netscape or Mozilla FireFox.","Pontis 5.0 will be designed to be used with Internet Explorer; Pontis 5.0 may work correctly with other browsers but this cannot be guaranteed. Given the predominance of IE in the browser market, support for other browsers does not appear to be necessary, although the support consideration may need to be reconsidered if external customers are running the application(s) and need to employ different browser technology such as Netscape or Mozilla FireFox.","First 'it' is replaced with 'Pontis 5.0', second 'it' is rephrased to 'support for other browsers', and 'this' is replaced with 'the support consideration' to resolve pronoun references."
