,Name_of_Project,Description,Structural_sbard,Vague_both,Anaphoric_taphsir
68,2005_clarus_low,CS shall be able to retrieve roadway weather measurements derived from VII data.,1,0,0
69,2005_clarus_low,The Clarus system shall allow access to new surface transportation-related observed environmental data.,1,0,0
70,2005_clarus_low,CS shall be able to be implemented to collect new observation types as they become available.,1,1,1
74,2005_clarus_low,The Clarus system shall be able to retrieve environmental data directly from environmental sensor station collectors.,1,0,0
76,2005_clarus_low,The Clarus system shall minimize the time for data acquisition.,1,0,0
77,2005_clarus_low,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,1,1,1
82,2005_clarus_low,The Clarus system shall accept environmental data from railway systems or in-situ ESS along tracks.,1,0,0
83,2005_clarus_low,CS shall be able to collect environmental data from railway systems from railway collectors.,1,0,0
84,2005_clarus_low,CS shall be able to collect environmental data from in-situ ESS along tracks from railway collectors.,1,0,0
87,2005_clarus_low,The Clarus system shall accept environmental data from (roadway) vehicles.,1,0,0
99,2005_clarus_low,CS shall create a log entry when a data set is invalid.,1,0,0
100,2005_clarus_low,The Clarus system baseline data types shall be defined by the NTCIP ESS 1204 standard.,1,0,0
102,2005_clarus_low,"The Clarus system data definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD).",1,1,0
104,2005_clarus_low,CS shall accept environmental data described by definitions defined by CMML version 2.,1,0,0
106,2005_clarus_low,"The Clarus system shall accept only observations that include location, timestamp, and source metadata.",1,1,0
107,2005_clarus_low,"CS shall accept only observations that include location, timestamp, and source metadata.",1,1,0
108,2005_clarus_low,The Clarus system shall accept only observations of identified measurement types and units.,0,1,0
109,2005_clarus_low,CS shall accept only observation of identified measurement types and units.,1,1,0
112,2005_clarus_low,The Clarus system shall accept data through a Clarus standard interface.,1,0,0
113,2005_clarus_low,CS shall implement the Clarus standard interface.,1,0,0
114,2005_clarus_low,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,1,0,1
117,2005_clarus_low,CS shall be able to accept data from an RWIS database in its native output format.,1,0,1
118,2005_clarus_low,The Clarus system shall be able to communicate with an individual ESS through its native interface.,1,0,1
119,2005_clarus_low,The Clarus system shall transfer data as efficiently as possible.,0,1,0
121,2005_clarus_low,CS shall be able to request collector environmental data on demand.,1,0,0
123,2005_clarus_low,The Clarus system shall employ industry standards to minimize implementation impact to users and providers.,1,0,0
124,2005_clarus_low,CS shall be able to extract environmental data from an XML message that conforms to the Clarus standard XML message specification.,1,0,0
125,2005_clarus_low,CS shall be able to extract environmental data from comma separated value messages.,1,0,0
126,2005_clarus_low,CS that process comma separated value ASCII text shall be able to dynamically parse environmental data that includes a descriptive header row conforming to the Clarus collector standard message specification.,1,0,0
127,2005_clarus_low,CS that process comma separated value ASCII text shall be able to dynamically parse environmental data described by a stored collector configuration.,1,0,0
128,2005_clarus_low,CS shall be able to extract environmental data from CMML version 2 messages.,1,0,0
129,2005_clarus_low,CS shall be able to extract environmental data from netCDF version 3.6 messages.,1,0,0
130,2005_clarus_low,The Clarus system shall allow access to new surface transportation related observed environmental data.,1,0,0
131,2005_clarus_low,The DOG shall be able to monitor new environmental data services as they are added.,1,0,1
136,2005_clarus_low,The EMC shall be configurable to allow new observation types to be implemented as they become available.,0,1,1
139,2005_clarus_low,"The EMC shall be able to maintain contact info for each contributor, collector, and station sensor.",1,0,0
140,2005_clarus_low,"The EMC shall be able to maintain backup contact info for each contributor, collector, and station sensor.",1,0,0
141,2005_clarus_low,"The EMC shall be able to maintain owner names for each contributor, collector, and station sensor.",1,0,0
142,2005_clarus_low,The EMC shall be able to maintain an equipment list for each station.,1,0,0
143,2005_clarus_low,The EMC shall be able to maintain pavement types for stations with corresponding instrumentation.,1,0,0
144,2005_clarus_low,"The EMC shall be able to maintain latitude, longitude, and elevation for stations.",1,0,0
146,2005_clarus_low,The EMC shall store collector metadata that consists of information based on TMDD & MS/ETMCC.,1,0,0
147,2005_clarus_low,The Clarus system shall disseminate environmental metadata in response to polling.,1,0,0
148,2005_clarus_low,EMS shall disseminate metadata in response to polling.,1,0,0
149,2005_clarus_low,The Clarus system shall disseminate data using standard Internet protocols.,1,0,0
150,2005_clarus_low,EMS shall disseminate metadata using standard Internet protocols.,1,0,0
151,2005_clarus_low,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as they become available.,1,1,1
154,2005_clarus_low,The Clarus system shall minimize the time for data dissemination.,1,0,0
155,2005_clarus_low,EMS shall respond to queries for metadata within five minutes.,1,0,0
158,2005_clarus_low,The EMS shall accept source queries that consist of a list of Clarus contributors including station identifier.,1,0,0
159,2005_clarus_low,The EMS shall accept location queries based on a bounding latitude/longitude coordinate pair.,1,0,0
160,2005_clarus_low,The EMS shall accept location queries based on latitude/longitude location and radius.,1,0,0
162,2005_clarus_low,EMS shall be able to distribute metadata in a comma separated value ASCII format.,1,0,0
163,2005_clarus_low,The Clarus system shall respond to queries for environmental metadata from the available metadata.,1,1,0
164,2005_clarus_low,EMS responses shall include metadata that meets the requested metadata query filtering specifications.,1,0,0
165,2005_clarus_low,EMS shall respond to queries returning no results with a message stating that no results matching that query are available.,1,1,0
166,2005_clarus_low,The Clarus system shall respond to a request for information within five minutes.,1,0,0
167,2005_clarus_low,The EMS shall respond to a request for metadata within five minutes.,1,0,0
168,2005_clarus_low,The QEDC shall keep the results of each quality test for each observation for the life of the observation.,1,0,0
169,2005_clarus_low,The QEDC shall be configurable to allow new observation types to be implemented as they become available.,0,1,1
170,2005_clarus_low,The Clarus system shall maintain a dynamic library of data for at least seven days.,1,0,0
172,2005_clarus_low,The QEDC observation types shall be defined by NTCIP ESS 1204.,1,0,0
173,2005_clarus_low,The Clarus system shall allow service providers to select specific desired data sets.,0,1,0
174,2005_clarus_low,The QEDC shall support queries for its observations.,1,0,1
175,2005_clarus_low,The Clarus system shall respond to queries for environmental data from the available data.,1,1,0
176,2005_clarus_low,The QEDC shall support queries against all of its available observation datasets.,1,1,1
178,2005_clarus_low,The QEDC combined from all available Clarus hosts shall support 470 million current observations.,1,1,0
179,2005_clarus_low,The Clarus system shall disseminate data in response to a scheduled request.,1,0,0
180,2005_clarus_low,QEDS shall disseminate data in response to a scheduled environmental data request.,1,0,0
181,2005_clarus_low,The Clarus system shall disseminate environmental data in response to polling.,1,0,0
182,2005_clarus_low,QEDS shall disseminate data in response to an immediate environmental data request.,1,1,0
183,2005_clarus_low,The Clarus system shall disseminate data in response to a change notification request.,1,0,0
184,2005_clarus_low,QEDS shall disseminate data in response to a change notification request.,1,0,0
185,2005_clarus_low,The Clarus system shall be able to notify subscribers when data sets become available.,1,1,0
186,2005_clarus_low,QEDS shall disseminate environmental data to subscribers when datasets fulfilling a subscription query become available.,1,1,0
187,2005_clarus_low,QEDS shall be able to disseminate environmental data to contributor subscribers when datasets fulfilling a subscription query applying threshold filters become available.,1,1,0
188,2005_clarus_low,QEDS system shall disseminate environmental data using standard Internet protocols.,1,0,0
190,2005_clarus_low,QEDS shall be able to disseminate environmental data in English units.,1,0,0
193,2005_clarus_low,QEDS shall provide quality checking statistics to data contributors.,1,0,0
194,2005_clarus_low,The Clarus system shall enable quality managers to review which quality checks passed or failed.,1,0,0
195,2005_clarus_low,QEDS shall enable quality managers to review which quality checks passed or failed.,1,0,0
196,2005_clarus_low,QEDS shall be able to disseminate new observation types as they become available.,1,1,1
199,2005_clarus_low,QEDS shall respond to environmental data queries within one minute.,1,0,0
200,2005_clarus_low,The Clarus system shall be able to disseminate data based on spatial queries.,1,0,0
201,2005_clarus_low,QEDS shall be able to disseminate data based on spatial queries.,1,0,0
205,2005_clarus_low,QEDS shall disseminate data with descriptions that conform to the TMDD.,1,0,0
208,2005_clarus_low,QEDS shall be able to disseminate environmental data in netCDF version 3.6 format.,1,0,0
209,2005_clarus_low,QEDS shall be able to disseminate environmental data in HDF version 5 format.,1,0,0
210,2005_clarus_low,QEDS shall be able to disseminate environmental data in CMML version 2 format.,1,0,0
211,2005_clarus_low,QEDS shall be able to disseminate environmental data in comma separated value ASCII format.,1,0,0
212,2005_clarus_low,The Clarus system shall allow service providers to select specific desired datasets.,0,1,0
213,2005_clarus_low,QEDS shall respond to environmental data queries selecting specific desired datasets.,1,1,0
214,2005_clarus_low,QEDS shall enable users to request environmental data from among the available output formats.,1,1,0
215,2005_clarus_low,QEDS shall respond to queries returning no results with a message stating that no results matching that query are available.,1,1,0
219,2005_clarus_low,QEDS shall accept location queries based on a bounding latitude/longitude coordinate pair.,1,0,0
220,2005_clarus_low,QEDS shall accept location queries based on a latitude/longitude location and radius.,1,0,0
222,2005_clarus_low,QEDS shall accept quality flag queries based on a range of quality flag values.,1,0,0
225,2005_clarus_low,QEDS shall accept source queries that are a list of Clarus contributors combined with a station identifier.,1,0,0
226,2005_clarus_low,The Clarus system shall allow users to create a data subscription request.,1,0,0
228,2005_clarus_low,QEDS shall accept data subscriptions that include an environmental data request and the publishing trigger.,1,0,0
229,2005_clarus_low,QEDS shall be able to accept subscription requests with triggers based on a schedule.,1,0,0
230,2005_clarus_low,QEDS shall be able to accept subscription requests with triggers based on quality flag state changes.,1,0,0
231,2005_clarus_low,QEDS shall disseminate subscription responses to the originating request address by default.,1,1,0
234,2005_clarus_low,QEDS shall automatically delete a subscription when the triggering event will not occur again and no more responses are possible.,1,1,0
236,2005_clarus_low,QEDS shall disseminate subscription responses within twenty minutes of new data becoming available.,1,1,0
237,2005_clarus_low,The Clarus system shall respond to a request for information within one minute.,1,0,0
238,2005_clarus_low,QEDS shall respond to an environmental data request within one minute.,1,0,0
239,2005_clarus_low,The Clarus system shall be able to handle three hundred simultaneous requests for environmental data.,1,0,0
244,2005_clarus_low,QChS processing shall commence when new data arrives but no less frequently than the scheduled interval.,1,1,0
245,2005_clarus_low,Each QChS shall produce a unique quality flag value.,1,0,0
249,2005_clarus_low,QChS algorithms shall use sensor range metadata for range checking bounds.,1,0,0
250,2005_clarus_low,QChS algorithms shall use climate records for range checking bounds.,1,0,0
251,2005_clarus_low,QChS algorithms shall be able to use monthly climate extremes for range checking bounds.,1,0,0
255,2005_clarus_low,QChS shall implement a manual override to set quality flags.,1,0,0
257,2005_clarus_low,QChS shall be able to implement quality checking rules for a specific environmental parameter.,1,1,0
258,2005_clarus_low,QChS shall be able to implement quality checking rules for specific environmental situations.,1,1,0
259,2005_clarus_low,The Clarus system shall be able to implement quality checking spatial tests using available data.,1,1,0
260,2005_clarus_low,QChS shall be able to implement quality checking spatial tests using available data.,1,1,0
261,2005_clarus_low,QChS shall be able to implement different quality checking rules specific to regional weather.,0,1,0
262,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values from multiple observations.,1,0,1
263,2005_clarus_low,QChS shall be able to flag observations based on more than one observation type.,1,1,0
264,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values distributed in time.,1,1,1
265,2005_clarus_low,QChS shall be able to base its quality checking process on values distributed in time.,1,1,1
266,2005_clarus_low,QChS shall be able to use historical environmental data in their quality checking algorithms.,1,0,1
268,2005_clarus_low,QChS shall be implemented to quality check new observation types as they become available.,1,1,1
272,2005_clarus_low,The Clarus system shall be able to complete an automated quality checking check of environmental data within ten seconds of data receipt.,1,0,0
273,2005_clarus_low,A QChS shall be able to complete an automated quality check within ten seconds of when data is available for checking.,1,1,0
274,2005_clarus_low,All QChS shall be completed within twenty minutes of data being available for checking.,1,1,0
280,2005_clarus_low,The Clarus system shall be able to be hosted at one or more physical locations.,0,1,0
281,2005_clarus_low,The Clarus system shall track its constituent hosts.,1,0,1
282,2005_clarus_low,The Clarus system shall allocate each collector to a specific host.,0,1,0
283,2005_clarus_low,The Clarus system shall allocate each contributor to a specific host.,0,1,0
284,2005_clarus_low,Clarus hosts shall be able to aggregate environmental data from other Clarus hosts.,1,1,0
285,2005_clarus_low,Clarus hosts shall be able to distribute queries to other Clarus hosts.,1,0,0
286,2005_clarus_low,The Clarus system shall use hardware that implements industry accepted standard interfaces.,1,0,0
287,2005_clarus_low,The Clarus system shall use software that implements industry accepted standard interfaces.,1,0,0
289,2005_clarus_low,All HTML coding shall meet FHWA requirements for web sites.,1,0,0
291,2005_clarus_low,"The Clarus system shall be able to use latitude, longitude, and elevation coordinates to specify location to the nearest three feet.",1,0,0
294,2005_clarus_low,The Clarus system shall be able to publish environmental data at three times the volume rate that it collects it.,1,0,1
298,2005_clarus_low,The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.,1,0,0
299,2005_clarus_low,The Clarus program shall establish data sharing agreements with all participating sources of environmental data.,1,0,0
300,2005_clarus_low,The Clarus program shall identify categories of recipients for dissemination of data.,1,0,0
301,2005_clarus_low,"The Clarus program shall determine the need for bilateral Clarus Data Sharing Agreements with countries, agencies, states, and regions.",1,0,0
302,2005_clarus_low,The authorized representative(s) of the contributors shall be identified.,1,0,0
303,2005_clarus_low,The contributors shall identify and define the types of data and information that will be included in the Clarus Data Sharing Agreement.,1,0,0
308,2005_clarus_low,The Clarus program shall provide data and information statistics on its operation to contributors.,1,0,1
309,2005_clarus_low,The contributors shall inform the Clarus program of changes in authorized personnel/offices.,1,0,0
311,2005_clarus_low,The Clarus Initiative Management Team shall undertake joint communications activities and products that will enhance public understanding and dissemination of contributions of the Clarus program.,1,0,0
312,2005_clarus_low,The Clarus Initiative Management Team shall agree upon the activities and products that will enhance public understanding/ communication of the contribution of the Clarus program.,1,0,0
313,2005_clarus_low,The contributors shall inform the Clarus program of known error(s) and modifications in its data and information.,1,0,1
314,2005_clarus_low,The Clarus program shall determine its redistribution of shared data from contributors based upon Clarus Data Sharing Agreements.,1,0,1
315,2005_clarus_low,The Clarus program shall report successes and failures in data and information transmission to its contributors.,1,0,1
317,2005_clarus_low,The Clarus program shall maintain information about requestors and their access to data and information.,1,0,1
319,2005_clarus_low,The Clarus Initiative Management Team shall specify the general frequency of policy meetings.,0,1,0
320,2005_clarus_low,The Clarus Initiative Coordinating Committee shall nominate technical expert(s) to participate on technical working groups.,1,0,0
323,2005_clarus_low,The contributors shall have the right to use the Clarus system data and information for purposes delineated within the Clarus Data Sharing Agreement.,1,0,0
324,2005_clarus_low,The requestors shall have the right to use the Clarus system data and information for purposes delineated within the Clarus User Agreement.,1,0,0
325,2005_clarus_low,The Clarus program shall have the right to reject the use of data and information provided by the contributors when deemed appropriate.,1,1,0
326,2005_clarus_low,"The Clarus program shall inform contributors of the policies, processes and procedures employed to reject data and information provided by the contributors.",0,1,0
327,2005_clarus_low,"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.",1,1,1
328,2005_clarus_low,"Any reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules.",1,0,0
329,2005_clarus_low,The Clarus program shall provide to contributors the limitation of liability for contributing environmental data and metadata.,1,0,0
330,2005_clarus_low,The Clarus program shall provide to requesters the limitation of liability for using environmental data and metadata.,1,0,0
332,2005_clarus_low,The Clarus program shall provide an environment that has uninterruptible power for the Clarus system.,1,0,0
333,2005_clarus_low,The Clarus program shall provide an environment that has redundant communication for the Clarus system.,1,0,0
338,2005_clarus_low,The Clarus program shall define quality checking rules for environmental observations.,1,0,0
343,2005_clarus_low,The Clarus program shall maintain a comprehensive Clarus system test environment.,0,1,0
344,2005_clarus_low,The Clarus program shall test all software changes in the designated test environment before deployment to production.,1,0,0
345,2005_clarus_low,The Clarus program shall test all hardware changes in the designated test environment before deployment to production.,1,0,0
347,2005_clarus_low,"The Clarus program shall operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal Information Resources, Appendix III, Security of Federal Automated Information Resources.",1,0,0
348,2005_clarus_low,"The Clarus program shall operate according to Government IT security requirements as outlined in the National Institute of Standards and Technology (NIST) Guidelines, Departmental Information Resource Management Manual, and associated guidelines.",1,0,0
349,2005_clarus_low,"The Clarus program shall operate according to Government IT security requirements as outlined in U.S. DOT Order 1630.2B, Personnel Security Management.",1,0,0
350,2005_clarus_low,Weather service providers shall be able to use Clarus data to provide localized special weather products.,1,0,0
351,2005_clarus_low,Public agency maintenance and construction personnel shall be able to use the Clarus system to obtain environmental conditions.,1,0,0
352,2005_clarus_low,Rail system personnel shall be able to use the Clarus system to obtain environmental conditions.,1,0,0
353,2005_clarus_low,Traffic management personnel shall be able to use the Clarus system to obtain environmental conditions.,1,0,0
354,2005_clarus_low,Transit personnel shall be able to use the Clarus system to obtain environmental conditions.,1,0,0
355,2005_clarus_low,The freight community shall be able to use the Clarus system to obtain environmental conditions.,1,0,0
356,2005_clarus_low,Emergency management and public safety personnel shall be able to use the Clarus system to obtain environmental conditions.,1,0,0
357,2005_clarus_low,The Clarus program shall maintain information about data providers.,1,0,0
358,2005_clarus_low,The Clarus program shall maintain metadata about each data provider's network.,1,0,0
359,2005_clarus_low,The Clarus program shall maintain information about data provider redistribution restrictions.,1,0,0
360,2005_clarus_low,The Clarus program shall maintain information about service providers.,1,0,0
361,2005_clarus_low,The Clarus program shall maintain information about service provider communications.,1,0,0
362,2005_clarus_low,The Clarus program shall maintain information about service provider access to data.,1,0,0
363,2005_clarus_low,The Clarus program shall allow potential weather element data providers to request permission to submit weather information.,1,0,0
364,2005_clarus_low,The Clarus system shall accept data only from sources which data sharing agreements have been established.,1,1,0
365,2002_evla_back,Lag Frames – The BE shall receive LTA or Speed Dump Lag Frames from the Correlator.,1,0,0
366,2002_evla_back,Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.,1,0,0
368,2002_evla_back,"Observational Mode – The BE shall receive, via M&C, data and parameters specific to the current EVLA Observational Mode needed for processing the Correlator Lag values.",1,1,0
369,2002_evla_back,"Meta-data – The BE shall receive, via M&C, all meta-data necessary to format BE results for delivery to the E2E.",1,1,0
370,2002_evla_back,Operational Status and Control – The BE shall provide operational status data to and receive control data from the M&C System. This includes Lag Frame destination addresses and address changes.,1,0,0
371,2002_evla_back,Error and Warning – The BE shall provide error and warning reports to M&C as operating conditions warrant.,1,0,0
372,2002_evla_back,Debug/Test Messages – The BE shall provide several optionally selectable levels of printed messages detailing operational parameters at critical locations in the system.,1,1,0
373,2002_evla_back,Formatted Output – The BE shall deliver formatted final results to the e2e System. The BE shall produce all data needed by the e2e System for archiving and further processing. The output is currently expected to be in a form compatible with AIPS++ Measurement Sets.,1,1,0
375,2002_evla_back,Correlator System – The BE shall notify M&C of any detected interruptions of data delivery from the Correlator.,1,0,0
379,2002_evla_back,"Lag Sets - The BE shall be able to handle lag sets up to a maximum size of 262,144 values.",0,1,0
380,2002_evla_back,Data Receive – The BE shall receive incoming data packets from the Correlator to Backend network interface. This network is a part of the BE System.,1,0,0
381,2002_evla_back,"Verify Receive – The BE shall verify the successful receipt of incoming data from the Correlator. This includes checking for receive errors and determining that all expected data was received, accumulation of error statistics and comparison against tolerances, and reporting of all out of tolerance conditions.",1,0,0
382,2002_evla_back,Input Data Management - The BE shall store input data records in a memory buffer and track buffer locations of all input data until data processing is complete. Report any buffer overflow conditions.,1,0,0
383,2002_evla_back,"Processing Management – The BE shall respond to incoming correlator mode changes, user optional processing sequence and/or parameter changes, and other external inputs that affect the data processing pipeline. Update internal parameter tables and synchronize data processing pipeline with new operational conditions.",1,0,0
385,2002_evla_back,Data Integrity Verification – The BE shall ensure that time series data is correctly ordered and contains valid data values along its entire extent.,1,1,1
386,2002_evla_back,Data Invalid – The BE shall replace all invalid data with zero values.,1,0,0
388,2002_evla_back,Normalization – The BE shall be able to apply normalizations based on reported data invalid counts.,1,0,0
389,2002_evla_back,Coarse Quantization Correction - The BE shall be able to apply corrections based on state count and/or quantizer power measurement data. This is the VanVleck correction.,1,0,0
390,2002_evla_back,"Time Domain Processing – The BE shall be able to apply user selected time domain processes. These processes should be constructed to be chainable (output of any time domain process can be piped to input of any other, including replica of self and Fourier Transform) and repeatable in the chain. No Optional time domain processes have as yet been proposed.",1,0,0
391,2002_evla_back,Windowing – The BE shall be able to perform windowing operations prior and subsequent to Fourier Transform. This will be needed for narrow band RFI mitigation. Post Fourier Transform windowing will be applied as a convolution.,1,1,0
392,2002_evla_back,"Time Domain Processing – The BE shall be able to apply user selected time domain processes. These processes should be constructed to be chainable (output of any time domain process can be piped to input of any other, including replica of self and Fourier Transform) and repeatable in the chain. No Optional time domain processes have as yet been proposed.",1,0,0
393,2002_evla_back,Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used. This process must be able to accept as input the output of any of the time domain processes.,1,1,0
394,2002_evla_back,Frequency Domain Processing – The BE shall be able to apply user selected frequency domain processes. These processes should be constructed to be chainable (output of Fourier Transform and any frequency domain process can be piped to input of any frequency domain process including replica of self) and repeatable in the chain. No frequency domain processes have as yet been proposed.,1,0,0
395,2002_evla_back,"Integration – The BE shall be able to sum the frequency domain, spectral results. The amount (time duration) of summation will be controlled by an observational mode parameter obtained via M&C. The BE shall keep track of the number of samples/dumps integrated in each spectral channel. The summation will occur after all optional frequency domain processing, or if none, after the Fourier Transform. Integration for long periods of time is what will throttle the output of the Correlator to a rate manageable by the E2E.",1,1,0
396,2002_evla_back,Output Formatting – The BE shall combine the finished spectra with meta- and auxiliary data to form suitably formatted output data sets.  AIPS++ Measurement Sets are the expected entities.,1,0,0
397,2002_evla_back,Output Data Management – The BE shall store formatted output data records in a memory buffer with backup disk buffering. Store data ready for transmission to the e2e System until successful transfer has occurred. Report any errors and buffer overflow conditions that occur.,1,0,0
400,2002_evla_back,Monitor I/O Performance – The BE shall monitor data transfer rates from the Correlator and to the e2e. Accumulate data transfer statistics and compare against tolerances. Report all out of tolerance conditions.,1,0,0
402,2002_evla_back,"Monitor Compute Errors – The BE shall trap, flag and repair inf’s, NaN’s, underflows, overflows and other computation errors. Accumulate computation error statistics and compare against tolerances. Report all out of tolerance conditions.",1,0,0
403,2002_evla_back,"Monitor Processes – The BE shall periodically or upon request check PID’s and assure that all started tasks are alive and running. Report missing, stopped, defunct and other damaged processes.",1,1,0
404,2002_evla_back,"Monitor Processors – The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding. Report all crashed, stopped, or unresponsive processors.",1,1,0
405,2002_evla_back,Monitor Networks – The BE shall periodically or upon request check all Backend internal networks and assure that all communication connections are intact and functioning. Report all non-functioning components.,1,1,0
406,2002_evla_back,Start Process – The BE shall be able to initiate a processing task on any Backend processor.,1,0,0
407,2002_evla_back,Stop Process  – The BE shall be able to signal a kill for any Backend process.,1,0,0
408,2002_evla_back,Alter Priority – The BE shall be able to alter the priority of any of the BE tasks.,1,0,0
409,2002_evla_back,Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.,1,1,0
411,2002_evla_back,Offload – The BE shall be able to redistribute internal workload among its processors. This may involve change of destination IP address(es) for the Correlator network.,1,0,1
412,2002_evla_back,General – BE processes shall not violate archive data requirements. All processes shall be reversible; the raw unconverted input always being recoverable from the output.,0,1,0
413,2002_evla_back,Input Data Queue – a memory buffer of lag frames. Data entry status queue to track each record in the buffer. The lag frames will contain all information necessary to properly assemble complete lag sets.,1,1,0
414,2002_evla_back,Output Data Queue – a memory buffer plus backup disk storage of all processed spectra. These will be converted to output AIPS++ Measurement Set entities prior to transfer to the e2e. Data entry status queue to track each record in the buffer.,1,0,0
415,2002_evla_back,"Processing Parameters – names, position(s) in sequence, and adjustable parameters for all fixed and user selectable processing pipeline applications.",1,0,0
