,Name_of_Project,Description,Adjust_label_strucutural
647,2001_hats,"[SRSreq 01] Any operation requiring the user to supply a file name shall allow the user either to select the files from a list derived from files in the currently open application or to key in a file name, a relative path name, or a complete path name.",1
648,2001_hats,"[SRSreq 02] For any operation where the user is prompted to select from a list, the user shall be able to cancel the operation.",0
649,2001_hats,"[SRSreq 03]When collecting generated output files from HATS-SML, the HATS-GUI shall overwrite any file whose name is generated automatically. For example, given a transformation language program X.tlp, the file X.tlp.parsed is generated when the parser is executed. If X.tlp.parsed existed prior to executing the parser, it shall be overwritten without prompting the user.",0
671,2001_hats,"[SRSreq 25] The HATS-GUI shall allow the user to select the colors for types of displayed nodes in a displayed graph. At a minimum, the system shall provide eight colors (red, yellow, white, black, green, blue, orange, and violet) for displayed nodes.",1
676,2001_hats,[SRSreq 30] The Run/Parse Target menu item shall provide an interface for selecting and parsing target programs.,0
678,2001_hats,[SRSreq 32] The Run/Execute Transforms menu item shall provide an interface for selecting and executing transformation language programs.,1
691,2001_hats,"[SRSreq 46] After initiating processes for editing files, the HATS-GUI is not responsible for communications with the process other than passing command line arguments.",0
698,2001_hats,[SRSreq 53] There shall be exactly one file describing the lexical specification of inputs associated with an application. It shall have the file extension .spec.,1
37,2005_clarus_low,The CAUI shall enable a quality manager to apply manual flags to a set of observations from an individual ESS.,1
417,2002_evla_back,"Metadata – All internally and externally generated data about the processed time series and spectra including invalid data flags, processes applied, coordinates, etc.",1
424,2002_evla_back,"Error Handling – the system shall be capable of flagging and marking corrupted data segments and proceeding without interruption or effect on other data. This includes, but is not limited to, partial data, zero data, underflows, overflows, infinities, and NaN’s whether obtained on input or arising during processing.",1
427,2002_evla_back,CPU – The total processor capability of the BE System shall be (combination of numbers of processors and individual processor speed) sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.,1
429,2002_evla_back,Excess Storage – The BE System shall have sufficient storage (memory and/or disk) with sufficient access speeds to meet short duration Correlator bursting demands (level TBD) plus a standby reserve (amount TBD) to meet reliability needs and handle outage recovery demands.,1
430,2002_evla_back," Applications – all math/science application software shall take optimal advantage of all language, compiler, and system computational features and resources to reduce run times to the minimum practical level.",1
588,tachonet,REL-01 The system is to be designed as a robust and dependable operational system which is tolerant to operator errors and which will recover cleanly from power cuts or other disasters.,1
589,tachonet,"REL-02  The system must function reliably, with few or no interruptions in its first operational year and fewer still thereafter.",1
592,tachonet,PER-02  There will be no restriction in time or place for the use of the software built from the specifications produced under this contract.,1
598,tachonet,SUP-03  The system must be designed so that it can migrate to upgraded hardware or new versions of the operating systems involved.,1
600,tachonet,"SUP-05 The system must provide solutions/rules regarding data encoding problems such as supporting different character sets, name truncation rules, name matching in case of misspelling,...",1
856,1999_tcs,The TCS mission planning function shall provide a graphical user interface that gives the operator the ability to define waypoints on a map based display using a pointing device with full keyset redundancy. [SSS059],1
856,1999_tcs,The TCS mission planning function shall provide a graphical user interface that gives the operator the ability to define waypoints on a map based display using a pointing device with full keyset redundancy. [SSS059],1
1265,1999_tcs,The TCS shall have an objective capability to be integrated and operated from tactical and command and control aircraft. [SSS531],1
1266,1999_tcs,The TCS shall have an objective capability to be integrated and operated from submarines. [SSS532],0
1244,1999_tcs,TCS transport and storage containers shall be reusable and enable the operators to set-up equipment within the established timelines in their ORDs. [SSS505],1
1240,1999_tcs,TCS shall record operator and maintainer actions for self assessment and performance enhancement. [SSS502],1
1239,1999_tcs,Training shall be adequate to maintain operator and maintainer skills and proficiencies. [SSS501],1
1233,1999_tcs,"The TCS system shall provide, for the operator and maintainer, an embedded or add-on interactive training courseware with self-paced instruction, duplicating UAV flight performance characteristics, capabilities, and limitations. [SSS492] The OUTRIDER TCS system shall be compatible with the U.S. Army Intelligence and Electronic Warfare Tactical Proficiency Trainer as an objective. [SSS493]",1
1230,1999_tcs,"The TCS HCI shall provide continuously-available, on-screen control functions for time and missioncritical operations, to include as a minimum print, freeze, declassification, mark VCR, declutter, cease RF transmission. [SSS489]",1
1229,1999_tcs,"The TCS HCI shall provide for on-screen information to include, as a minimum, overlays, headers, cursors, alphanumeric annotation, waypoints, crosshairs, designed to be visible against the complete spectrum of map and payload video backgrounds. [SSS488]",1
1222,1999_tcs,The TCS HCI shall display the SAR imaging swath on the map display. [SSS479] The TCS HCI shall provide the on-screen capability to select and efficiently move as well as reorient a previously defined SAR imaging swath. [SSS480],1
1221,1999_tcs,The TCS HCI shall provide coarse and fine payload control capabilities directly on the payload screen. [SSS478],1
1218,1999_tcs,"The TCS HCI shall provide unambiguous AV and payload control and status feedback indicators to ensure safe, efficient operations of two AVs and their payloads by a single TCS station. [SSS475]",1
1095,1999_tcs,"The TCS safety requirements are intended to eliminate as well as control potential hazards to equipment and personnel involved in the TCS. The TCS shall comply with para 5.3 of MIL-STD 882C, “System Safety Program Requirements”, dated 19 January 1993 w/ Notice 1 dated 19 January 1996. [SSS346]",1
