ID,Project,Requirement,Fixed_Requirement,Vague
10,2005_clarus_low,The CAS shall be able to configure quality checking rules specific to observation locations.,"The CAS shall be able to configure quality checking rules specific to observation locations as specified in F163B1, enabling QChS to implement different quality checking rules specific to regional weather patterns based on Task Force review requirements.",1
343,2005_clarus_low,The Clarus program shall maintain a comprehensive Clarus system test environment.,"The Clarus program shall maintain a comprehensive Clarus system test environment capable of testing all system components (CS, QChS, EMS, QEDS, SS) for quality checking processes and environmental data processing functionality.",1
768,2001_hats,"[SRSreq 129] SDT displays shall provide the user with the option to refresh the display. When a display is refreshed, all transient display objects are cleared and the display is redrawn from the source SDT data.","[SRSreq 129] Syntax Derivation Tree (SDT) displays shall provide the user with a refresh option. When a display refresh is initiated, all transient display objects shall be cleared and the display shall be completely redrawn using the current source SDT data.",1
960,1999_tcs,The TCS shall be capable of automatically controlling the transmitter and receiver modes of the selected data terminal. [SSS173],The TCS shall be capable of automatically controlling both the transmitter operational modes and the receiver operational modes of the currently selected data terminal equipment. [SSS173],1
444,2002_evla_back,Software Accessibility – all systems and application source code shall be available to or on the site and shall be maintainable by the operations staff.,All system software and application source code shall be maintained on-site at the Array Operations Center and shall be designed to be maintainable by the EVLA operations staff using standard software development tools and practices.,1
1195,1999_tcs,The TCS HCI shall provide for a rapid means to cancel aural warnings. [SSS449],"The TCS HCI shall provide for a rapid means to cancel aural warnings through operator acknowledgment requirements, with TCS operator required to enter acknowledgment prior to disabling display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults as specified in section 3.13.1.",1
714,2001_hats,"[SRSreq 72] When a user selects the File/Edit menu item, the HATS-GUI shall request that the operating system open the file using the appropriate editor as specified in the application configuration.","[SRSreq 72] When a user selects the File/Edit menu item, the HATS-GUI shall request that the operating system open the currently selected file using the appropriate external editor program as specified in the application configuration settings.",1
521,1999_multi_mahjong,"The CO will be able to play at 3 different ability levels: Beginner,  Intermediate and Advanced.","The Computer Opponent (CO) will be able to play at exactly 3 different ability levels designated as Beginner, Intermediate and Advanced, with each level implementing different decision-making algorithms appropriate to the skill level.",1
1267,1999_tcs,The TCS shall permit dynamic mission and sensor retasking during all phases of operational mission execution,"The TCS shall permit dynamic mission and sensor retasking during all phases of operational mission execution through real-time mission modification capabilities, automated system software support for immediate and adaptive crisis response, and capability to change mission plans while air vehicle is airborne as specified in the operational requirements.",1
464,2002_evla_back,"Hardware â€ complete and comprehensible hardware systems specifications and configuration information shall be readily available.""","Complete and comprehensible hardware systems specifications and configuration information shall be readily accessible as specified in documentation requirement 3.10.1, supporting maintenance accessibility and system operation requirements.",1
643,2005_pontis,"It is assumed that authentication will utilize a single sign-on (SSO) approach and application security will be consistent with BRIDGEWare and utilize Active Directory or LDAP. As an objective, the application should utilize Windows Authentication for thin-client applications and database authentication for stand-alone applications.","The authentication system shall utilize a single sign-on (SSO) approach, and application security shall be consistent with BRIDGEWare standards using Active Directory or LDAP protocols. As an objective, the application should implement Windows Authentication for thin-client applications and database authentication for stand-alone applications.",1
809,1999_tcs,"The TCS system will be capable of controlling the Predator and Outrider AVs with a single control system, using existing military services standard hardware and software, and supporting interfaces with various C4I systems.","The TCS system shall be capable of controlling both Predator and Outrider Air Vehicles using a single integrated control system, utilizing existing military services standard hardware and software components, and providing interfaces with various Command, Control, Communications, Computers, and Intelligence (C4I) systems.",1
432,2002_evla_back,"I/O – all input and output, and storage and retrieval operations shall take optimal advantage of available system resources to reduce overhead and latency to the minimal practical level.","All input and output operations, and all data storage and retrieval operations, shall be optimized to take maximum advantage of available system hardware resources (memory bandwidth, disk I/O capacity, network throughput) to reduce processing overhead and data latency to the minimum practical levels.",1
1253,1999_tcs,The environmental support required by the TCS shall be at least the same as that required for the respective UAV System. [SSS516],"The environmental support requirements for the TCS (including power, heating, cooling, and environmental protection) shall meet or exceed those specified for the respective UAV System that it controls. [SSS516]",1
1226,1999_tcs,"The TCS operator shall be required to enter an acknowledgment prior to disabling the display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults. [SSS 580]","The TCS operator shall be required to enter an acknowledgment prior to disabling the display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults, with visual alerts in form of displayed message boxes having display priority greater than other existing windows to ensure immediate visibility as specified in section 3.13.1.",1
1295,1999_tcs,The TCS shall have monitor(s) that allow reading of displays under direct sunlight and low light level environments.,"The TCS shall have monitor(s) that allow reading of displays under direct sunlight and low light level environments as part of ergonomically designed operator controls and displays for worldwide climatic conditions operation, supporting environmental requirements for land-based shelter and shipboard environments as specified in section 3.13.1 and 3.9.",1
530,1999_multi_mahjong,The user of the MultiMahjongServer will most likely have general knowledge of a Web Server environment.,"The user of the MultiMahjongServer will most likely have general knowledge of a Web Server environment as specified in Section 5.1 user characteristics, including TCP/IP server configuration and network administration capabilities.",1
434,2002_evla_back,"General - Operating system,  message passing and other middle-ware,  and programming language(s) used shall follow industry standards and be commonly available and widely used. Availability of source code for the OS will be very important.","Operating system, message passing and other middle-ware, and programming language(s) used shall follow industry standards and be commonly available and widely used as specified in section 3.3.3.5, with availability of source code for the OS being very important and taking optimal advantage of system features to reduce overheads to minimal practical levels.",1
173,2005_clarus_low,The Clarus system shall allow service providers to select specific desired data sets.,"The Clarus system shall allow service providers (who are principal Clarus users) to select specific desired data sets through metadata query filtering specifications, with EMS responses including metadata that meets the requested filtering specifications for environmental data from multiple sources.",1
1056,1999_tcs,"The TCS shall as a minimum, allow Operator(s) to print freeze-frame video, C4I Messages, Mission Plans, and Payload Data. [SSS336]","The TCS shall provide the capability for operators to print the following data types: freeze-frame video images, C4I Message reports, Mission Plan documents, and Payload Data reports. [SSS336]",1
44,2005_clarus_low,The Clarus system shall be able to implement quality checking rules specific to each environmental parameter.,"The Clarus system shall be able to implement quality checking rules specific to each environmental parameter (temperature, pressure, humidity, wind speed, precipitation rate) through QChS, CAS, and CAUI components using variable-specific tests as specified in F-155 and ConOps §3.5.1.4.",1
918,1999_tcs,"The operator shall have the capability to initiate as well as change, to include as a minimum manual control, predetermined flight routes, search patterns, emergency recovery to select as well as change destination landing sites within UAV fuel and flight time constraints. [SSS130]","The operator shall have the capability to initiate and modify Air Vehicle operations including: manual flight control, predetermined flight route execution, search pattern execution, and emergency recovery procedures. The operator shall be able to select and change destination landing sites within the UAV's fuel capacity and maximum flight time constraints. [SSS130]",1
1177,1999_tcs,The TCS shall provide maximum automated system software support to system status monitoring and alerting of the TCS operator when a preset system parameter goes under as well as over a set threshold. [SSS431],"The TCS shall provide maximum automated system software support through automated TCS system information and logical operator guidance for system status monitoring, with caution/warning diagnostics when TCS system identifies malfunctions and alerting when preset system parameters exceed thresholds, using combination of visual and auditory outputs as specified in section 3.13.1.",1
1224,1999_tcs,TCS Warning messages shall be color coded and flashed based on mission criticality. The color codes and flash frequencies will follow MIL-STD 1472 guidelines. [SSS 578],"TCS Warning messages shall be color coded and flashed based on mission criticality following MIL-STD 1472 guidelines for color codes and flash frequencies, with visual and auditory outputs provided to alert TCS operator to situations requiring response and operator acknowledgment required for critical warnings as specified in section 3.13.1.",1
497,1999_multi_mahjong,The MultiMahjongClient must inform the user if another player goes Mahjong. The wind of the round is displayed at all times.,"The MultiMahjongClient must inform the user through the graphical user interface when another player achieves Mahjong, and shall display the wind of the round at all times within the main game window as part of the game state information.",1
1239,1999_tcs,Training shall be adequate to maintain operator and maintainer skills and proficiencies. [SSS501],Training programs shall be sufficient in depth and frequency to maintain operator and maintainer skills and proficiencies at the levels required for effective TCS operation and maintenance. [SSS501],1
792,2001_hats,[SRSreq 153] The user shall be able to clear the error window without restarting the HATS-GUI.,"[SRSreq 153] The user shall be able to clear the error window that displays all error messages collected from HATS-SML in order received and accessible via a window tab as specified in SRSreq 151, without restarting the HATS-GUI and without affecting the continued operation of the system as specified in SRSreq 150.",1
546,1999_multi_mahjong,The MultiMahjongServer will have no graphical user interface and will be run using a command prompt.,"The MultiMahjongServer will have no graphical user interface and will be run using a command prompt as specified in Level 1 requirement 6.1.1, operating as a command-line server application.",1
1098,1999_tcs,Appropriate cautions and warnings shall be provided to the operator if the air vehicle deviates into unsafe flight regime. [SSS349],"Appropriate cautions and warnings shall be provided to the operator through color-coded and flashing warning messages following MIL-STD 1472 guidelines when the air vehicle deviates into unsafe flight regime, with visual alerts displayed within 30° cone of field of view and combination of visual and auditory outputs as specified in section 3.13.1.",1
428,2002_evla_back,Memory – The BE System shall have sufficient (amount TBD) memory with sufficient (rate TBD) access to store and process the burst correlator data flow that will be delivered.,The Backend System shall have sufficient memory capacity and memory access bandwidth to store and process the maximum burst correlator data flow rates that will be delivered from the WIDAR correlator during peak observational modes.,1
108,2005_clarus_low,The Clarus system shall accept only observations of identified measurement types and units.,The Clarus system shall accept only environmental observations that have been validated to conform to the predefined measurement types and their corresponding standard units as specified in the Environmental Metadata Cache.,1
212,2005_clarus_low,The Clarus system shall allow service providers to select specific desired datasets.,"The Clarus system shall allow service providers (who are principal Clarus users) to select specific desired datasets through metadata query filtering specifications, with EMS responses including metadata that meets the requested filtering specifications for environmental data from multiple sources.",1
15,2005_clarus_low,The CAS shall be configurable to allow new observation types to be implemented as they become available.,"The CAS shall be configurable to allow new observation types from NTCIP 1204 environmental data standards (including temperature sensors, pressure height, humidity, wind sensors, precipitation indicators as defined in Table 1) to be implemented as they become available.",1
962,1999_tcs,The TCS shall be capable of automatically controlling the transmitter and receiver frequencies of the selected data terminal. [SSS175],The TCS shall be capable of automatically controlling both the transmitter frequencies and the receiver frequencies of the currently selected data terminal equipment. [SSS175],1
1060,1999_tcs,The TCS shall have the functionality to transfer digital data as well as digital imagery to and from external storage devices. [SSS340],The TCS shall have the functionality to transfer both digital data files and digital imagery files bidirectionally between the TCS and external storage devices. [SSS340],1
1249,1999_tcs,The TCS shall be designed such that no single hardware failure or software error results in an unsafe command to be transmitted to and accepted by the air vehicle.,The TCS shall be designed such that no single hardware failure or software error results in an unsafe command to be transmitted to and accepted by the air vehicle through full independent computer redundancy for each UAV system and compliance with MIL-STD 882C System Safety Program Requirements as specified in section 3.7 and 3.11.1.,1
907,1999_tcs,The TCS shall provide the capability to control the flight of the selected AV in accordance with the stored mission plan or operator commands. [SSS118],The TCS shall provide the capability to control the flight path of the currently selected Air Vehicle either in accordance with the pre-stored mission plan or through direct operator command inputs. [SSS118],1
