ID,Project,Requirement,Fixed_Requirement,Vague
343,2005_clarus_low,The Clarus program shall maintain a comprehensive Clarus system test environment.,"The Clarus program shall maintain a comprehensive Clarus system test environment capable of testing all system components (CS, QChS, EMS, QEDS, SS) for quality checking processes and environmental data processing functionality.",1
379,2002_evla_back,"Lag Sets - The BE shall be able to handle lag sets up to a maximum size of 262, 144 values.","The BE shall be able to handle lag sets up to a maximum size of 262,144 values for correlator data processing as specified in the Backend System data processing requirements.",1
412,2002_evla_back,"General â€ BE processes shall not violate archive data requirements. All processes shall be reversible.""","BE processes shall not violate archive data requirements by maintaining input data fidelity and dynamic range across all processing, manipulation and I/O functions as specified in section 3.3.1.1, with all processes being reversible and chainable in the processing pipeline where computationally appropriate.",1
434,2002_evla_back,"General - Operating system,  message passing and other middle-ware,  and programming language(s) used shall follow industry standards and be commonly available and widely used. Availability of source code for the OS will be very important.","Operating system, message passing and other middle-ware, and programming language(s) used shall follow industry standards and be commonly available and widely used as specified in section 3.3.3.5, with availability of source code for the OS being very important and taking optimal advantage of system features to reduce overheads to minimal practical levels.",1
448,2002_evla_back,"Operating Systems â€ operating system software shall either have source code available or come with sufficient diagnostics and customer support.""","Operating system software shall either have source code available or come with sufficient diagnostics and customer support as specified in maintainability requirement 3.6.2, ensuring system accessibility and debugging capabilities for continued operation.",1
449,2002_evla_back,"Hardware â€ I/O ,  communications,   and processing hardware shall be easily expandable, reconfigurable,  augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware.""","I/O, communications, and processing hardware shall be easily expandable, reconfigurable, augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science and Correlator changes as specified in scalability requirement 3.7.1, ultimately scaling to handle up to 2 Gbytes per second per Correlator output channel in real-time.",1
463,2002_evla_back,"Replaceability â€modular design principles shall be employed to the maximum extent possible. Maximal practical use of available """"hot-swappable"""" devices and components shall be made.""","Modular design principles shall be employed to the maximum extent possible with maximal practical use of available ""hot-swappable"" devices and components as specified in section 3.9.3, enabling transparent shutdowns for maintenance, repair and/or upgrade while maintaining hardware accessibility.",1
464,2002_evla_back,"Hardware â€ complete and comprehensible hardware systems specifications and configuration information shall be readily available.""","Complete and comprehensible hardware systems specifications and configuration information shall be readily accessible as specified in documentation requirement 3.10.1, supporting maintenance accessibility and system operation requirements.",1
497,1999_multi_mahjong,The MultiMahjongClient must inform the user if another player goes Mahjong. The wind of the round is displayed at all times.,"The MultiMahjongClient must inform the user through the graphical user interface when another player achieves Mahjong, and shall display the wind of the round at all times within the main game window as part of the game state information.",1
500,1999_multi_mahjong,The MultiMahjongClient will play sound effects associated with certain game actions.,"The MultiMahjongClient will play sound effects associated with game actions as specified in Level 2 requirement 6.2.2, providing audio feedback for user interface interactions and game state changes.",1
521,1999_multi_mahjong,"The CO will be able to play at 3 different ability levels: Beginner,  Intermediate and Advanced.","The Computer Opponent (CO) will be able to play at exactly 3 different ability levels designated as Beginner, Intermediate and Advanced, with each level implementing different decision-making algorithms appropriate to the skill level.",1
530,1999_multi_mahjong,The user of the MultiMahjongServer will most likely have general knowledge of a Web Server environment.,"The user of the MultiMahjongServer will most likely have general knowledge of a Web Server environment as specified in Section 5.1 user characteristics, including TCP/IP server configuration and network administration capabilities.",1
537,1999_multi_mahjong,The only option to the user is to quit the game. All processes will be cleaned up (if possible) and the MultiMahjongClient will terminate.,"When the only option available to the user is to quit the game, all processes will be cleaned up (if possible) and the MultiMahjongClient will terminate properly, ensuring graceful shutdown of the client application.",1
546,1999_multi_mahjong,The MultiMahjongServer will have no graphical user interface and will be run using a command prompt.,"The MultiMahjongServer will have no graphical user interface and will be run using a command prompt as specified in Level 1 requirement 6.1.1, operating as a command-line server application.",1
549,1999_multi_mahjong,This manual will be provided as an electronic file.,"The administrator's manual will be provided as an electronic file as specified in Level 1 requirement 7.1.2, containing installation, configuration, and troubleshooting information.",1
552,1999_multi_mahjong,The administrator's manual will also be viewable from within the MultiMahjongServer program.,"The administrator's manual will also be viewable from within the MultiMahjongServer program, providing integrated access to documentation without requiring external file access.",1
555,1999_multi_mahjong,This manual will be provided in both a hard copy book and an electronic file.,"The user's manual will be provided in both a hard copy book and an electronic file format, ensuring documentation accessibility through multiple delivery methods.",1
557,1999_multi_mahjong,The user's manual will also be viewable from within the MultiMahjongClient program.,"The user's manual will also be viewable from within the MultiMahjongClient program, providing integrated help system access for user support during gameplay.",1
559,1999_multi_mahjong,"This documentation will be available in electronic files, and,  with the exception of source code,  will also be available in hard copy format.","The coding and design documentation will be available in electronic files, and with the exception of source code, will also be available in hard copy format as specified in the Level 1 documentation requirements.",1
561,1999_multi_mahjong,The source code will be provided in hard copy format.,The source code will be provided in hard copy format as part of the coding and design documentation deliverables.,1
623,2005_pontis,21.7 The system shall be capable of integrating authentication and permissions with BRIDGEWare. Note that this is dependent on the BRIDGEWare architecture and related implementation schedule.,"The system shall be capable of integrating authentication and permissions with BRIDGEWare by continuing to provide existing application integration capabilities as specified in UC-18, supporting concurrent storage in the database of planned, active, and inactive structures with lifecycle phase indicators, with implementation dependent on the BRIDGEWare architecture and related implementation schedule.",1
1096,1999_tcs,"The TCS shall provide sufficient cues to allow the operator to safely take-off,  land and navigate under Instrument Flight Rules. [SSS347]","The TCS shall provide sufficient cues including visual displays of altitude, heading, airspeed, artificial horizon, navigation waypoints, and runway approach indicators to allow the operator to safely take-off, land and navigate under Instrument Flight Rules as specified for ergonomic design in section 3.13.1, with graphical user interface based on X-windows and Motif as specified in section 3.13.1.",1
1097,1999_tcs,The TCS shall provide adequate capability to allow the operator to operate each UAV within its certified operational flight envelope. [SSS348],"The TCS shall provide adequate capability through real-time flight parameter monitoring and display to allow the operator to operate each UAV (Predator and Outrider) within its certified operational flight envelope as specified in the MAE UAV and CR-TUAV ORDs, with caution/warning systems when approaching envelope limits.",1
1098,1999_tcs,Appropriate cautions and warnings shall be provided to the operator if the air vehicle deviates into unsafe flight regime. [SSS349],"Appropriate cautions and warnings shall be provided to the operator through color-coded and flashing warning messages following MIL-STD 1472 guidelines when the air vehicle deviates into unsafe flight regime, with visual alerts displayed within 30° cone of field of view and combination of visual and auditory outputs as specified in section 3.13.1.",1
1104,1999_tcs,The TCS shall be capable of restoring power in sufficient time to avoid loss of air vehicle control during power outages. [SSS354],"The TCS shall be capable of restoring power through uninterruptible power supply for critical phases (landing and takeoff as minimum) and interface to DoD standard power supply equipment to avoid loss of air vehicle control during power outages, with capability to connect to standard military 110/220 volt 50/60 hertz generators as specified in section 3.10.1.3.",1
1114,1999_tcs,"Links that provide communications between the TCS and other systems shall be secured in a manner appropriate for the sensitivities of the material passed through such links, in accordance with DoD Directive C-5200.5, ""Communication Security (COMSEC)"" dated 21 April 1990. [SSS365]","Links that provide communications between the TCS and other systems shall be secured through National Security Agency approved encryption systems in accordance with DoD Directive C-5200.5 Communication Security (COMSEC) dated 21 April 1990, with system accreditation by Designated Approving Authority prior to processing classified and sensitive unclassified data as specified in section 3.8.",1
1129,1999_tcs,The TCS shall have sufficient throughput to support the processing requirements of the selected data link. [SSS382],"The TCS shall have sufficient throughput not exceeding 50% of throughput capability delivered over any 10 second period (objective 25%) to support the processing requirements of the selected data link, with hardware supporting data rate characteristics of AV, data link and payload to ensure interoperability as specified in section 3.10.2.",1
1150,1999_tcs,"The TCS software shall provide a high resolution,  computer generated,  graphical user interface that enables the UAV operator that is trained on one system to control different types of UAVs as well as UAV payloads with minimal additional training. [SSS404]","The TCS software shall provide a high resolution, computer generated, windows based graphical user interface using X-windows and Motif that enables the UAV operator trained on one system to control different types of UAVs (Predator and Outrider) as well as UAV payloads through modular architecture supporting Level 1-5 interactions with minimal additional training as specified in section 3.10.3.",1
1158,1999_tcs,"The Design features shall be included to: 
1. minimize the number and frequency of required preventive maintenance actions based on performance requirements and lowest life cycle costs;
2. minimize the contribution to degradation of TCS equipment reliability as a consequence of performing either preventive as well as corrective maintenance;
3. enable the performance of all maintenance actions with safety and comparative ease by providing adequate access to all equipment components and minimizing the requirements for special tools and test equipment;
4. minimize the requirement for specially trained maintenance personnel;
5. improve system availability by the effective selection and incorporation of Built In Test Equipment (BITE);
6. allow removal and replacement of replaceable units without soldering and unsoldering.",Design features shall be included to achieve system maintainability (MTTR) and reliability (MTBF) equal to or greater than specified in Predator and Outrider ORDs by: 1) minimizing preventive maintenance through performance-based design; 2) maintaining equipment reliability during maintenance; 3) providing adequate access using standard tools per section 3.11.4; 4) enabling maintenance by standard personnel per Services' UAV maintenance concepts; 5) incorporating Built In Test Equipment for availability; 6) allowing component replacement without soldering through modular design.,1
1164,1999_tcs,Hardware and software shall be selected for use in the TCS with the goal of providing ease of future changes to the TCS elements. [SSS418] The object of portability for the TCS is to select or develop hardware which will readily host emerging software packages and software which will be as independent of host hardware as possible.,"Hardware and software shall be selected using modular architecture, GFE, NDI and COTS hardware designed for upgrade and expansion to provide ease of future changes to TCS elements, with open software architecture capable of supporting additional CSCIs, CSCs, and CSUs for future AVs, payloads, and capabilities while maintaining software portability across Service operating systems as specified in section 3.10.3.",1
1168,1999_tcs,The system shall be functionally and physically partitioned to allow for efficient fault isolation. [SSS422],"The system shall be functionally and physically partitioned using modular design principles to allow for efficient fault isolation through Built In Test Equipment (BITE) and diagnostic capabilities, with full independent computer redundancy for each UAV system as specified in section 3.11.1 to enable rapid identification and resolution of system faults.",1
1175,1999_tcs,"The TCS shall minimize alphanumeric data display in favor of graphic, pictorial information display [SSS429]","The TCS shall minimize alphanumeric data display in favor of graphic, pictorial information display using graphical representations to convey system status, C4I links, and AV-GDT links through windows based graphic operator interface with multi-level information display tailoring by operator as specified in section 3.10.3.",1
1177,1999_tcs,The TCS shall provide maximum automated system software support to system status monitoring and alerting of the TCS operator when a preset system parameter goes under as well as over a set threshold. [SSS431],"The TCS shall provide maximum automated system software support through automated TCS system information and logical operator guidance for system status monitoring, with caution/warning diagnostics when TCS system identifies malfunctions and alerting when preset system parameters exceed thresholds, using combination of visual and auditory outputs as specified in section 3.13.1.",1
1179,1999_tcs,"The TCS shall provide the necessary processing, display, and control capabilities to ensure dynamic situational awareness input to the TCS operator. [SSS433]","The TCS shall provide the necessary processing, display, and control capabilities through real-time video and telemetry data processing, dynamic mission and sensor retasking during operational execution, and continuous situational awareness displays to ensure dynamic situational awareness input to the TCS operator as specified in section 3.10.3.",1
1182,1999_tcs,The TCS shall provide for multi-level information display tailoring by the operator. [SSS436],"The TCS shall provide for multi-level information display tailoring by the operator through configurable graphic displays, de-clutter capacity showing selected number of most significant threats, operator-definable overlay information selection, and capability to select content for simultaneous viewing of imagery and data from multiple payloads as specified in the interface requirements.",1
1188,1999_tcs,"The TCS shall provide for a specific icon shape on a constant contrast background, as well as other visual information coding mechanisms, to cue the TCS operator regarding which UAVs are under his or her primary control. [SSS442]",The TCS shall provide specific icon shapes on constant contrast backgrounds and visual information coding mechanisms including color coding and flash frequencies following MIL-STD 1472 guidelines to cue the TCS operator regarding which UAVs (up to 2 AVs per single TCS station) are under primary control as specified in section 3.13.1.,1
1193,1999_tcs,The TCS HCI shall provide the capability to lock onto and hold a coordinate point on the payload imagery window. [SSS447],The TCS HCI shall provide the capability to lock onto and hold a coordinate point on the payload imagery window through operator-controlled payload functions with capability to route RS170A video and digital imagery to TCS functions and display upon operator request as specified in the payload interface requirements.,1
1195,1999_tcs,The TCS HCI shall provide for a rapid means to cancel aural warnings. [SSS449],"The TCS HCI shall provide for a rapid means to cancel aural warnings through operator acknowledgment requirements, with TCS operator required to enter acknowledgment prior to disabling display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults as specified in section 3.13.1.",1
1197,1999_tcs,"The TCS HCI shall provide for visual Warnings, Cautions, and Advisories to be displayed at or near the center of the field of view, i.e., within a 30o cone, of all monitors in a TCS system. [SSS451]","The TCS HCI shall provide for visual Warnings, Cautions, and Advisories to be displayed within a 30° cone at or near the center of field of view of all monitors through displayed message boxes with display priority greater than other windows, with position adjustable by operator to ensure important mission data is not obscured as specified in section 3.13.1.",1
1203,1999_tcs,The shall provide the functionality to have a maximum delay time of 1 second from operator command to system acknowledgement and response.[SSS 559],The TCS shall provide the functionality to have a maximum delay time of 1 second from operator command to system acknowledgement and response through sufficient processing capability and throughput not exceeding 50% of capability over any 10 second period as specified in section 3.10.2.,1
1205,1999_tcs,"The TCS shall provide automated TCS system information, control options, and logical & simple operator guidance and support for immediate and adaptive responding to crisis situations. [SSS 561]","The TCS shall provide automated TCS system information, control options, and logical & simple operator guidance through automated system software support, appropriate warning messages from concurrently-executing subsystem tasks, and crisis response capabilities enabling planning and launching missions within 1 hour of tasking as specified in section 3.12.6.",1
1210,1999_tcs,"The TCS HCI shall provide unambiguous AV and payload control and status feedback indicators to ensure safe, efficient operations of two AVs and their payloads by a single TCS station. [SSS 566]","The TCS HCI shall provide unambiguous AV and payload control and status feedback indicators through specific visual coding mechanisms, status displays for AV location and system status, and separation/grouping of multiple alert categories (Warnings, Cautions, Advisories) to ensure safe, efficient operations of two AVs and their payloads by a single TCS station as specified in section 3.13.1.",1
1212,1999_tcs,The TCS HCI shall provide the capability to select and amplify an object and point on a map as well as payload screen. [SSS 568],The TCS HCI shall provide the capability to select and amplify an object and point on a map and payload screen through operator-controlled interface functions with capability to display search footprint of payload on moving map and select coordinate points for payload imagery control as specified in the interface requirements.,1
1214,1999_tcs,The TCS HCI shall provide coarse and fine payload control capabilities directly on the payload screen. [SSS 570],The TCS HCI shall provide coarse and fine payload control capabilities directly on the payload screen through Level 3 interaction (control of UAV payload plus direct receipt of imagery/data) with capability to control payload and receive/process/format payload data as specified in the system interaction levels.,1
1217,1999_tcs,The TCS HCI shall provide the on-screen capability to select and efficiently move as well as reorient a previously defined SAR imaging swath. [SSS 573],The TCS HCI shall provide the on-screen capability to select and efficiently move as well as reorient a previously defined SAR imaging swath through SAR processor interface for disseminating SAR information (imagery and telemetry) and dynamic mission and sensor retasking capabilities during operational mission execution as specified in section 3.4.3.,1
1220,1999_tcs,"The TCS HCI shall provide the capability to display operator definable â€œLock Outâ€ zones around waypoints, Launch and Recovery Point (LRP), as well as any selected point on the AV flight path.","The TCS HCI shall provide the capability to display operator definable ""Lock Out"" zones around waypoints, Launch and Recovery Point (LRP), and any selected point on the AV flight path through mission planning functionality with terrain avoidance warning and minimum reception altitude calculations for line of sight flights as specified in the safety requirements.",1
1222,1999_tcs,"The TCS HCI shall provide for separation, grouping, and visual coding of multiple categories of alerts, to include Warnings, Cautions, and Advisories. [SSS 576]","The TCS HCI shall provide for separation, grouping, and visual coding of multiple categories of alerts including Warnings, Cautions, and Advisories through color coding and flash frequencies following MIL-STD 1472 guidelines, with visual alerts displayed in message boxes having display priority greater than other windows as specified in section 3.13.1.",1
1224,1999_tcs,TCS Warning messages shall be color coded and flashed based on mission criticality. The color codes and flash frequencies will follow MIL-STD 1472 guidelines. [SSS 578],"TCS Warning messages shall be color coded and flashed based on mission criticality following MIL-STD 1472 guidelines for color codes and flash frequencies, with visual and auditory outputs provided to alert TCS operator to situations requiring response and operator acknowledgment required for critical warnings as specified in section 3.13.1.",1
1226,1999_tcs,"The TCS operator shall be required to enter an acknowledgment prior to disabling the display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults. [SSS 580]","The TCS operator shall be required to enter an acknowledgment prior to disabling the display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults, with visual alerts in form of displayed message boxes having display priority greater than other existing windows to ensure immediate visibility as specified in section 3.13.1.",1
1228,1999_tcs,Visual alerts to the TCS operator shall be in the form of a displayed message box that has a display priority greater than other existing windows to ensure that it is viewable immediately by the operator. [SSS 582] The position of the displayed message window shall be easily adjustable by the operator to ensure that important mission data is not obscured.,"Visual alerts to the TCS operator shall be in the form of a displayed message box that has a display priority greater than other existing windows to ensure immediate visibility, with the position of the displayed message window being easily adjustable by the operator to ensure that important mission data is not obscured, as specified in section 3.13.1.",1
1235,1999_tcs,"The TCS shall be capable of downloading mission plans from Service-specific mission planning systems (e.g., Tactical Aircraft Mission Planning System and Air Force Mission Support System).","The TCS shall be capable of downloading mission plans from Service-specific mission planning systems including Tactical Aircraft Mission Planning System (TAMPS), Aviation Mission Planning System (AMPS), and Air Force Mission Support System (AFMSS) to ensure interoperability with force level mission planning systems as specified in the mission planning requirements.",1
1238,1999_tcs,The TCS shall be capable of storing a minimum of 500 mission plans under unique names to allow for later retrieval.,The TCS shall be capable of storing a minimum of 500 mission plans under unique names using mass storage capabilities with CD-ROM drive compatible with NIMA CD-ROM Digital Terrain Elevation Data (DTED) and Digital Feature Analysis Data (DFAD) to allow for later retrieval as specified in section 3.10.1.2.,1
1241,1999_tcs,The TCS shall be capable of changing the mission plan while the air vehicle is airborne.,"The TCS shall be capable of changing the mission plan while the air vehicle is airborne through dynamic mission and sensor retasking during operational mission execution, with real-time mission updates and modifications capabilities as specified in the operational requirements.",1
1244,1999_tcs,"The TCS shall be ergonomically designed and provide sufficient cues to allow the pilot to safely take off, land, and navigate under Instrument Flight Rules.","The TCS shall be ergonomically designed for 5th percentile female to 95th percentile male operator and provide sufficient cues including visual displays, navigation waypoints, and flight parameters to allow the pilot to safely take off, land, and navigate under Instrument Flight Rules, with controls allowing operation while wearing cold weather clothing and Mission Oriented Protective Posture as specified in section 3.13.1.",1
1245,1999_tcs,A de-clutter capacity shall be provided that only displays the selected number of the most significant threats.,"A de-clutter capacity shall be provided that only displays the selected number of the most significant threats through multi-level information display tailoring by the operator, with capability to minimize alphanumeric data display in favor of graphic, pictorial information display as specified in the interface requirements.",1
1247,1999_tcs,The TCS shall monitor the uplink and downlink to each UAV under its control.,"The TCS shall monitor the uplink and downlink to each UAV under its control with capability to detect loss of link and attempt to reestablish communications, computing estimated AV position during Loss of Link (LOL) based on last known position projected along flight planned route, and displaying LOL timer to operator as specified in the communication requirements.",1
1249,1999_tcs,The TCS shall be designed such that no single hardware failure or software error results in an unsafe command to be transmitted to and accepted by the air vehicle.,The TCS shall be designed such that no single hardware failure or software error results in an unsafe command to be transmitted to and accepted by the air vehicle through full independent computer redundancy for each UAV system and compliance with MIL-STD 882C System Safety Program Requirements as specified in section 3.7 and 3.11.1.,1
1251,1999_tcs,The TCS shall provide the required information to allow the operator to maintain safe separation from other aircraft and a safe altitude in civilian airspace per Federal Aviation Administration (FAA) rules.,"The TCS shall provide the required information including altitude, position, and traffic data to allow the operator to maintain safe separation from other aircraft and safe altitude in civilian airspace per Federal Aviation Administration (FAA) rules, with UHF communications capability for Air Traffic Control (ATC) agencies during peacetime as specified in the safety requirements.",1
1253,1999_tcs,"During mission execution, the TCS shall provide the operator a caution/warning when the UAV system has identified a malfunction.","During mission execution, the TCS shall provide the operator caution/warning diagnostics when the UAV system has identified a malfunction through color-coded and flashing warning messages following MIL-STD 1472 guidelines, with combination of visual and auditory outputs requiring operator acknowledgment as specified in section 3.13.1.",1
1255,1999_tcs,"For mission planning, the TCS shall provide terrain avoidance warning and minimum reception altitude calculations for line of sight flights.","For mission planning, the TCS shall provide terrain avoidance warning and minimum reception altitude calculations for line of sight flights using CD-ROM Digital Terrain Elevation Data (DTED) and Digital Feature Analysis Data (DFAD) compatible with NIMA standards, integrated with mission planning software capabilities as specified in section 3.10.1.2.",1
1257,1999_tcs,The TCS shall support an automatic launch and recovery system.,"The TCS shall support an automatic launch and recovery system with objective capability for interoperability with Integrity Beacon Landing System (IBLS) and Common Automated Recovery System (CARS) used by Outrider, providing external interfaces to required launch and recovery systems as specified in the operational requirements.",1
1259,1999_tcs,The TCS shall display the location and system status of the UAV.,"The TCS shall display the AV location and system status including fuel parameters (fuel status, flow rate, bingo fuel), with capability to present last known AV status values and time of last report when data link is not operational, as specified in the display requirements.",1
1261,1999_tcs,"While the data link is not operational, the TCS shall present the last known AV status values and the time at which the last values were reported.","While the data link is not operational, the TCS shall present the last known AV status values and the time at which the last values were reported, with computed estimated position of AV during Loss of Link based upon last known position projected along flight planned route and LOL timer display to operator as specified in the communication requirements.",1
1263,1999_tcs,"The TCS shall be capable of displaying fuel parameters to the operator to include as a minimum fuel status, flow rate, and bingo fuel.","The TCS shall be capable of displaying fuel parameters to the operator including as minimum fuel status, flow rate, and bingo fuel through real-time AV status monitoring, with graphical representations and multi-level information display tailoring capabilities as specified in the display requirements.",1
1265,1999_tcs,The TCS shall display the search footprint of the payload on the moving map.,"The TCS shall display the search footprint of the payload on the moving map through integrated payload control capabilities, with ability to simultaneously view imagery and data from more than one payload when applicable and route imagery to TCS functions upon operator request as specified in the payload interface requirements.",1
1267,1999_tcs,The TCS shall permit dynamic mission and sensor retasking during all phases of operational mission execution,"The TCS shall permit dynamic mission and sensor retasking during all phases of operational mission execution through real-time mission modification capabilities, automated system software support for immediate and adaptive crisis response, and capability to change mission plans while air vehicle is airborne as specified in the operational requirements.",1
1269,1999_tcs,"The TCS shall receive, process, format, store, retrieve flight and payload data, and perform limited exploitation of payload data.","The TCS shall receive, process, format, store, retrieve flight and payload data through mass storage capabilities with CD-ROM drive and tape drive systems, and perform limited exploitation of payload data with capability to route RS170A video and digital imagery to TCS functions as specified in section 3.10.1.2 and payload requirements.",1
1271,1999_tcs,An RS-170A video interface shall be provided for the system to output and input analog imagery and overlays to and from a Video Cassette Recorder (VCR) for recording and playback.,"An RS-170A video interface shall be provided for the system to output and input analog imagery and overlays to and from a Video Cassette Recorder (VCR) for recording and playback, with TCS capability to fully control the VCR via TCS Display input devices and route VCR recorded payload video to C4I Interfaces as specified in section 3.4.5.",1
1273,1999_tcs,The TCS shall allow the Operator(s) to fully control the VCR via the TCS Display input device(s).,"The TCS shall allow the Operator(s) to fully control the VCR via the TCS Display input devices through integrated interface capabilities, with ability to route VCR recorded payload video to C4I Interfaces and RS-170A video interface for recording and playback as specified in section 3.4.5.",1
1275,1999_tcs,The TCS operator shall be able to select the content of the overlay information.,"The TCS operator shall be able to select the content of the overlay information through multi-level information display tailoring capabilities, with operator-definable selection of RS170A video and digital imagery routing to TCS functions and display upon operator request as specified in the interface requirements.",1
1277,1999_tcs,"The TCS shall provide the capability to simultaneously view imagery as well as data from more than one payload, when applicable.",The TCS shall provide the capability to simultaneously view imagery as well as data from more than one payload when applicable through Level 3 interaction capabilities (control of UAV payload plus direct receipt of imagery/data) and multi-level information display tailoring by the operator as specified in the system interaction levels.,1
