requirement_id,Name_of_Project,Original_Requirement,Fixed_Requirement
836,2002_wasp,The WASP system shall allow for the generation of custom resource schedule elements for other applications to use.,The WASP system shall generate custom resource schedule elements for use by other applications.
840,2002_wasp,The WASP system shall provide an interface to allow the retrieval of the status of observations.,The WASP system shall provide an interface for retrieving observation statuses.
842,2002_wasp,The WASP system shall be able to automatically reschedule observations as necessary to accommodate changing telescope status.,The WASP system shall automatically reschedule observations when telescope status changes.
846,2002_wasp,The WASP system shall allow the observer to modify scheduled observations subject to constraints.,The WASP system shall enable observers to modify scheduled observations within defined constraints.
850,2002_wasp,A valid observation request must include a target and an instrument configuration.,A valid observation request must specify both a target and an instrument configuration.
852,2002_wasp,The WASP system shall accept as input pre-existing observation schedules.,The WASP system shall accept pre-existing observation schedules as input.
855,2002_wasp,The WASP system shall provide a robust interface for the input and manipulation of observing requests.,The WASP system shall provide a robust interface for inputting and manipulating observing requests.
857,2002_wasp,The WASP system should be able to handle fixed start-time requests.,The WASP system shall support fixed start-time observation requests.
859,2002_wasp,The WASP system should be able to handle fixed end-time requests.,The WASP system shall support fixed end-time observation requests.
1193,2005_swen_561,Automatically save any preferences entered to a file.,Automatically save any entered preferences to a file.
1194,2005_swen_561,Default selected characters are the lower case letters a-z and the upper case letters A-Z.,"By default, selected characters shall include lowercase a-z and uppercase A-Z."
1202,2005_swen_561,The user shall be able to add new items and modify existing items.,The user shall be able to add new items and to modify existing items.
1204,2005_swen_561,The user shall be able to archive and un-archive study guides.,The user shall be able to archive study guides and to un-archive them.
1206,2005_swen_561,The user shall be able to hide and show the character count.,The user shall be able to hide or show the character count.
1208,2005_swen_561,The user shall be able to minimize and maximize the application.,The user shall be able to minimize or maximize the application.
1209,2005_swen_561,The user shall be able to set the colors for right and wrong answers.,The user shall be able to set colors for correct answers and for incorrect answers.
1223,2005_swen_561,The student shall be able to choose a problem set to study from a list of available problem sets.,The student shall be able to choose a problem set from a list of available sets to study.
1236,2005_swen_561,"The student view shall have two sections, one for displaying the problem and one for displaying the instructions.","The student view shall contain two sections: (1) a problem display section,  and (2) an instructions display section."
1243,2005_swen_561,The student shall be able to see the number of correct and incorrect responses.,The student shall see counts of both correct responses and incorrect responses.
1247,2005_swen_561,The student shall be able to pause and restart a study session.,The student shall be able to pause a study session and to restart it.
1250,2005_swen_561,The student view shall list the answers alphabetically and numerically.,The student view shall list answers in both alphabetical and numerical order.
1252,2005_swen_561,The student view shall show answered and unanswered questions.,The student view shall show both answered questions and unanswered questions.
1253,2005_swen_561,The student view shall show the total number of questions and number answered.,"The student view shall show: (a) the total number of questions,  and (b) the number of answered questions."
1256,2005_swen_561,The application shall display the total number of sessions and session time.,The application shall display both the total number of sessions and the total session time.
1260,2005_swen_561,The application shall start a new session when the student logs in for the first time or when a new study guide is selected.,"The application shall start a new session when either: (a) a student logs in for the first time,  or (b) a new study guide is selected."
1262,2005_swen_561,The application shall export study guides to file formats which include XSL and XML.,The application shall export study guides to file formats such as XSL and XML.
1264,2005_swen_561,The application shall import study guides which can be in XSL and XML file formats.,The application shall import study guides in both XSL and XML formats.
1267,2005_swen_561,The application shall remember the state of items between session starts and stops.,The application shall preserve item states between sessions.
1274,2005_swen_561,The application shall save student data when the student stops the session or logs out.,"The application shall save student data when either: (a) the student stops the session,  or (b) the student logs out."
1275,2005_swen_561,The application shall read student data when the session starts and read study guides.,The application shall read student data at session start and shall read study guides.
1279,2005_swen_561,The application shall display and properly use the assigned fonts.,The application shall display text using the assigned fonts and shall use them properly.
1282,2005_swen_561,The application shall record the session time and the problem set statistics.,The application shall record both session duration and problem set statistics.
1286,2005_swen_561,The application shall show a prompt when user tries to close or exit.,The application shall prompt the user when the user is attempting to close or exit.
1290,2005_swen_561,The application shall present the problems randomly and without duplicates.,The application shall present problems in random order and without duplication.
1296,2005_swen_561,The user shall be able to undo or redo an action.,The user shall be able to undo actions or to redo them.
1297,2005_swen_561,The user shall be able to cut or copy text.,The user shall be able to cut text or to copy it.
1298,2005_swen_561,The user shall be able to save or save as.,The user shall be able to save files or to use 'save as' functionality.
1299,2005_swen_561,The user shall be able to print or print preview.,The user shall be able to print documents or to preview them before printing.
1301,2005_swen_561,The user shall be able to open or open recent study guides.,The user shall be able to open both new or recently opened study guides.
1319,2005_swen_561,The user must select from a list of predefined languages including English and Chinese.,The user shall select a language from predefined options including English and Chinese.
1321,2005_swen_561,The user shall be able to switch between a simple and advanced interface.,The user shall be able to switch between a simple interface and an advanced interface.
1391,2005_swen_556,The database server shall output error messages when invalid account and/or password are entered.,The database server shall output error messages when an invalid account or password is entered.
1392,2005_swen_556,The database server shall create new entries for the instructor name and room number.,The database server shall create new entries for instructor names and room numbers.
1394,2005_swen_556,The database server shall return a department name and corresponding code for given entry.,"For a given entry,  the database server shall return a department name and its corresponding code."
1396,2005_swen_556,The database server shall return an instructor name and corresponding department for given entry.,"For a given entry,  the database server shall return an instructor name and the corresponding department."
1398,2005_swen_556,The database server shall check for existing entry before adding the instructor's name and department.,"Before adding an instructor's name and department,  the database server shall check for existing entries."
1400,2005_swen_556,The database server shall confirm that the course number and section have been added.,The database server shall confirm when a course number and section have been added.
1402,2005_swen_556,The database server shall check for matching course number and section number.,The database server shall check for matching pairs of course numbers and section numbers.
1404,2005_swen_556,The database server shall return the course name and corresponding number.,The database server shall return course names and their corresponding numbers.
1407,2005_swen_556,The database server shall delete existing entries after confirmation message and user acknowledgement.,The database server shall delete existing entries only after displaying a confirmation message and receiving user acknowledgement.
1409,2005_swen_556,The database server shall return all course sections for a given department name and course number.,"For a given department name and course number,  the database server shall return all related course sections."
1411,2005_swen_556,The database server shall return all room numbers and corresponding building name.,The database server shall return all room numbers and their corresponding building names.
1419,2005_swen_556,The database server shall update the course number and section.,The database server shall update course numbers and sections.
1421,2005_swen_556,The database server shall update the department name and corresponding code.,The database server shall update department names and their corresponding codes.
1424,2005_swen_556,The database server shall return class schedules with days and times.,The database server shall return class schedules including days and times.
1430,2005_swen_556,The database server shall add days and time that course is offered to existing course section record.,The database server shall add days and times when a course is offered to existing course section records.
1434,2005_swen_556,The database server shall assign room numbers and corresponding building names for all course sections.,The database server shall assign room numbers and building names to all course sections.
1435,2005_swen_556,The database server shall organize instructor information by instructor name and department.,The database server shall organize instructor information by their name and department.
1437,2005_swen_556,The database server shall organize course sections by course number and section number.,The database server shall organize course sections by their course numbers and section numbers.
1441,2005_swen_556,The database server shall organize all courses by course name and number.,The database server shall organize courses by their name and number.
1442,2005_swen_556,The database server shall organize department information by department name and code.,The database server shall organize department information by their name and code.
1443,2005_swen_556,The database server shall add the course name and course number to each course section.,The database server shall add course names and numbers to each course section.
1445,2005_swen_556,The database server shall check for existing course number and section number before adding new course section.,"Before adding a new course section,  the database server shall check for existing course numbers and section numbers."
1446,2005_swen_556,The database server shall check for existing department name and code before adding new department.,"Before adding a new department,  the database server shall check for existing department names and codes."
1447,2005_swen_556,The database server shall check for existing course name and number before adding new course.,"Before adding a new course,  the database server shall check for existing course names and numbers."
1449,2005_swen_556,The database server shall add the building name and room number for the course section.,The database server shall add building names and room numbers to course sections.
1450,2005_swen_556,The database server shall add a department name and corresponding code.,The database server shall add department names and their corresponding codes.
1451,2005_swen_556,The database server shall add a course name and corresponding number.,The database server shall add course names and their corresponding numbers.
1452,2005_swen_556,The database server shall add a course section number and corresponding course number.,The database server shall add course section numbers and their corresponding course numbers.
1461,2005_swen_556,The database server shall update existing course section with the updated days and time.,The database server shall update existing course sections with new days and times.
1463,2005_swen_556,The database server shall check for existing instructor name and department before adding new instructor.,"Before adding a new instructor,  the database server shall check for existing instructor names and departments."
1464,2005_swen_556,The database server shall check for existing building name and room number before adding new room.,"Before adding a new room,  the database server shall check for existing building names and room numbers."
1469,2005_swen_561_short,The student shall be able to select the number of characters allowed in random generation between 2 and 5.,The student shall select how many characters (between 2 and 5) are allowed in random generation.
1472,2005_swen_561_short,The student shall be able to select an answer from the generated answer pool and this shall be recorded.,"The student shall select an answer from the generated pool,  and the system shall record this selection."
1477,2005_swen_561_short,The student shall be able to pause and restart a session.,The student shall be able to pause a session and to restart it.
1481,2005_swen_561_short,The application shall display the session statistics of correct and incorrect answers when student is done with session.,"When a student completes a session,  the application shall display statistics for correct and incorrect answers."
1482,2005_swen_561_short,The application shall save and load game data between sessions.,The application shall save game data after sessions and load it before new sessions.
1484,2005_swen_561_short,The application shall allow 20 characters maximum length for problem prompt and answer.,The application shall limit both problem prompts and answers to 20 characters maximum.
1492,2005_swen_561_short,A problem set shall not be editable during an active session and this must be communicated to the user.,"During an active session,  problem sets shall not be editable,  and the system shall communicate this restriction to users."
1493,2005_swen_561_short,A user shall be able to edit a problem prompt and answer.,A user shall be able to edit a problem's prompt and its answer.
1495,2005_swen_561_short,A user shall be able to add and delete problems from a problem set.,A user shall be able to add problems to a problem set and delete problems from it.
1496,2005_swen_561_short,A user shall be able to create and name a problem set.,A user shall be able to create a problem set and name it.
1514,2005_swen_556_short,The database server shall output error messages when invalid account and/or password are entered.,The database server shall output error messages when an invalid account or password is entered.
1518,2005_swen_556_short,The database server shall return all course sections for a given department name and course number.,"For a given set of department name and course number,  the database server shall return all related course sections."
1524,2005_swen_556_short,The database server shall assign room numbers and corresponding building names for all course sections.,The database server shall assign room numbers and building names to all course sections.
1527,2005_swen_556_short,The database server shall organize building names and room numbers.,The database server shall organize building and room information.
1533,2005_swen_556_short,The database server shall add the building name and room number for the course section.,The database server shall add building names and room numbers to course sections.
1535,2005_swen_556_short,The database server shall check for existing instructor name and department before adding new instructor.,"Before adding a new instructor,  the database server shall check for existing instructor names and departments."
304,2005_clarus_low,The contributors shall identify the intended use of their shared data and information.,The contributors shall identify the intended use of their shared data and the intended use of their shared information.
305,2005_clarus_low,The contributors shall identify the categories of recipients of their shared data and information.,The contributors shall identify the categories of recipients of their shared data and the categories of recipients of their shared information.
306,2005_clarus_low,The contributors shall define the units of measurements of their shared data and information.,The contributors shall define the units of measurements of their shared data and the units of measurements of their shared information.
327,2005_clarus_low,"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.","The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and any shared information, as specified within this Clarus Data Sharing Agreement."
310,2005_clarus_low,The Clarus program shall inform contributors of the acceptance and use of their data and information.,The Clarus program shall inform contributors of the acceptance and use of their data as well as their information.
631,2005_clarus_low,The system developer shall consider supporting existing custom forms and reports developed in PowerBuilder 9.,The system developer shall consider supporting existing custom forms and existing custom reports developed in PowerBuilder 9.
642,2005_clarus_low,Pontis 5.0 in production is intended to be supported through complete and sufficient on-line help and documentation and equivalent printed documentation.,"Pontis 5.0 in production is intended to be supported through complete and sufficient on-line help, through complete and sufficient documentation, and through equivalent printed documentation."
171,2005_clarus_low,The QEDC shall maintain observations and their associated quality flags for seven days.,The QEDC shall maintain both observations and their associated quality flags for seven days.
315,2005_clarus_low,The Clarus program shall report successes and failures in data and information transmission to its contributors.,The Clarus program shall report both successes and failures in transmission of both data and information to the program's contributors.
317,2005_clarus_low,The Clarus program shall maintain information about requestors and their access to data and information.,The Clarus program shall maintain information about requestors and their access to both data and information.
116,2005_clarus_low,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,The Clarus system shall be able to communicate with RWIS databases by using the native interfaces of those databases.
117,2005_clarus_low,CS shall be able to accept data from an RWIS database in its native output format.,"CS shall be able to accept data from an RWIS database, where the data is in the native output format of that database."
118,2005_clarus_low,The Clarus system shall be able to communicate with an individual ESS through its native interface.,The Clarus system shall be able to communicate with an individual ESS by using the native interface of that ESS.
467,2005_clarus_low,The MultiMahjongServer will allow connections from MultiMahjongClients and communicate with them using IP.,The MultiMahjongServer will allow connections from MultiMahjongClients and will communicate with those clients by using IP protocol.
627,2005_clarus_low,"The software, through its user interface, will clearly identify the product name (Pontis 5.0.x), the licensee, the connected user, and the organization that developed the system (AASHTO).","The software will clearly identify, through the user interface, the product name (Pontis 5.0.x), the licensee, the connected user, and the organization that developed the system (AASHTO)."
640,2005_clarus_low,There will continue to be a standalone/runtime database engine provided with the application for offline work.,There will continue to be a standalone/runtime database engine that is provided with the application for offline work.
639,2005_clarus_low,Pontis 5.0 will be designed to be used with Internet Explorer; it may work correctly with other browsers but this cannot be guaranteed.,"Pontis 5.0 will be designed to be used with Internet Explorer; the software may work correctly with other browsers, but correct operation cannot be guaranteed when using other browsers."
624,2005_clarus_low,The system shall be capable of operating with a single-sign-on authentication mechanism based on Active Directory Services or the LDAP standard.,The system shall be capable of operating with a single-sign-on authentication mechanism that is based on either Active Directory Services or the LDAP standard.
598,2005_clarus_low,The system must be designed so that it can migrate to upgraded hardware or new versions of the operating systems involved.,The system must be designed such that the system can migrate to upgraded hardware or migrate to new versions of the operating systems involved.
601,2005_clarus_low,The system must be designed and documented with the expectation that its operational lifetime will be many years.,The system must be designed and documented based on the expectation that the operational lifetime will be many years.
551,2005_clarus_low,A section added to the manual which details some technical information on the MultiMahjong product.,A section that details some technical information on the MultiMahjong product shall be added to the manual.
489,2005_clarus_low,Any user who creates or joins a game will be able to upload their own JPEG or GIF image that they wish to have displayed above their name.,Any user who creates or joins a game will be able to upload their own JPEG image or GIF image that the user wishes to have displayed above their name.
737,2005_clarus_low,The HATS-GUI shall confirm that the transformation language program exists.,The HATS-GUI shall confirm that the file for the transformation language program exists.
772,2005_clarus_low,An up arrow key moves the cursor to the closest ancestor that is not hidden.,An up arrow key moves the cursor to the closest ancestor node that is not hidden.
1219,2005_clarus_low,"The TCS shall provide for a specific icon shape on a constant contrast background, as well as other visual information coding mechanisms.","The TCS shall provide a specific icon shape that appears on a constant contrast background, as well as other visual information coding mechanisms."
1197,2005_clarus_low,Visual alerts to the TCS operator shall be in the form of a displayed message box that has a display priority greater than other existing windows.,"Visual alerts to the TCS operator shall be in the form of a displayed message box, where the message box has a display priority greater than other existing windows."
262,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values from multiple observations.,The Clarus system shall be able to base the quality checking process on values obtained from multiple observations.
264,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values distributed in time.,The Clarus system shall be able to base the quality checking process on values that are distributed in time.
266,2005_clarus_low,QChS shall be able to use historical environmental data in their quality checking algorithms.,"QChS shall be able to use historical environmental data (e.g., air quality, temperature, and water levels from the past 10 years) as input to its quality checking algorithms."
11,2005_clarus_low,"The Clarus system shall be able to base its quality checking process on historical environmental data (e.g., air quality, temperature, and water levels from the past 10 years).",The Clarus system shall be able to base the quality checking process on data that is both historical and environmental.
808,2005_clarus_low,The DUAP Presentation Services shall require users to confirm their identity through a password associated with that username.,The DUAP Presentation Services shall require users to confirm their identity by using a password that is associated with the username.
385,2005_clarus_low,The BE shall ensure that time series data is correctly ordered and contains valid data values along its entire extent.,The BE shall ensure that all time series data are ordered chronologically and that every data value in the series is valid across the entire duration of the dataset.
444,2005_clarus_low,All systems and application source code shall be available to or on the systems that execute it.,"All application source code shall be either accessible to, or stored on, the systems that execute it."
451,2005_clarus_low,"Requirement 3.7.1 shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces.",Requirement 3.7.1 shall be accomplished seamlessly such that the accomplishment does not affect hardware modules or software functionality at the interfaces.
452,2005_clarus_low,The Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.,The Backend system shall be scalable to handle up to 2 Gbytes per second per Correlator output channel in real time.
539,2005_clarus_low,The coding standard will be the same as that suggested by Sun Microsystems.,The coding standard will be the same as the standard that is suggested by Sun Microsystems.
1113,2005_clarus_low,The TCS data sensitivities shall be determined by the data sensitivities of the systems with which it interfaces.,The TCS data sensitivities shall be determined by the data sensitivities of the systems with which the TCS interfaces.
1117,2005_clarus_low,The TCS shall be approved for operation at the same level as the systems with which it interfaces.,The TCS shall be approved for operation at the same security level as the systems with which the TCS interfaces.
1183,2005_clarus_low,Software written for other systems shall be used in TCS where it is determined that the existing software is suitable.,"The TCS shall incorporate existing software from other systems, provided the software is determined to be suitable for use in TCS."
1255,2005_clarus_low,The TCS shall meet the deployment criteria for the organic unit to which it is assigned.,The TCS shall comply with the deployment criteria defined for its assigned organic unit.
